Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS;LiPO, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;001;PERUŠIĆ;DOM KULTURE U PERUŠIĆU;PERUŠIĆ, HRVATSKE MLADEŽI 3;734;445;445;430;15;264;126;40
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;002;PERUŠIĆ;ZGRADA BIVŠE POŠTE U PERUŠIĆU (PRIZEMLJE);PERUŠIĆ, TRG POPA MARKA MESIĆA 5;158;74;74;71;3;47;15;9
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;003;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE U POCRNIĆIMA;PERUŠIĆ;72;19;19;19;0;16;3;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;004;PERUŠIĆ;KUĆA JOSE KOLAKA (GRUBIŠE);MALO POLJE 59;87;48;48;48;0;34;5;9
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;005;PERUŠIĆ;KUĆA JURE JURKOVIĆA;KVARTE 41 A;216;126;126;119;7;87;21;11
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;006;PERUŠIĆ;KUĆA ŽELJKA KRULJCA, KALUĐEROVAC;KALUĐEROVAC 14 A;20;13;13;13;0;13;0;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;007;PERUŠIĆ;KUĆA GORDANE PETRIĆ, STUDENCI;STUDENCI 51 A;42;9;9;9;0;3;1;5
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;008;PERUŠIĆ;DRUŠTVENI DOM DONJI KOSINJ;DONJI KOSINJ;108;81;81;77;4;58;14;5
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;009;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE RUDINKA;DONJI KOSINJ;134;118;118;114;4;102;9;3
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;010;PERUŠIĆ;ZGRADA BIVŠE OSNOVNE ŠKOLE VUKELIĆI;DONJI KOSINJ;98;49;49;47;2;37;8;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;011;PERUŠIĆ;DRUŠTVENI DOM KOSINJSKI BAKOVAC;KOSINJSKI BAKOVAC;81;54;54;52;2;28;24;0
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;012;PERUŠIĆ;DRUŠTVENI DOM GORNJI KOSINJ;GORNJI KOSINJ 54;99;45;45;44;1;29;13;2
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;013;PERUŠIĆ;KUĆA RAJKA ŠTAKIĆA;MLAKVA 48/1;69;28;28;26;2;5;2;19
09;LIČKO-SENJSKA ŽUPANIJA;općina;PERUŠIĆ;014;PERUŠIĆ;DRUŠTVENI DOM LIPOVO POLJE;LIPOVO POLJE;95;51;51;51;0;8;11;32
