Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STIPO LUKAČ;DARKO MILINOVIĆ;ERNEST PETRY;DANIJEL TUŠAK;TOMISLAV ZRINSKI
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;001;GOSPIĆ;PUČKO OTVORENO UČILIŠTE DR ANTE STARČEVIĆA;ULICA DR. FRANJE TUĐMANA BR. 5, GOSPIĆ;952;613;613;605;8;29;195;190;186;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;002;GOSPIĆ;ZGRADA HRVATSKE POŠTE U GOSPIĆU;KANIŠKA ULICA BR. 53, GOSPIĆ;951;638;638;621;17;21;240;162;189;9
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;003;GOSPIĆ;ZGRADA DOMA ZDRAVLJA U GOSPIĆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ;1377;742;742;730;12;37;188;202;294;9
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;004;GOSPIĆ;ZGRADA GIMNAZIJE U GOSPIĆU;BUDAČKA ULICA BR. 24, GOSPIĆ;798;521;521;514;7;35;129;186;160;4
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;005;GOSPIĆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIĆU";BUŽIMSKA ULICA 10;1511;1026;1026;1003;23;39;238;325;389;12
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;006;GOSPIĆ;ČITAONICA KANIŽA;KANIŽA GOSPIĆKA;375;239;239;232;7;7;83;63;79;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;007;GOSPIĆ;ČITAONICA ŽABICA;ŽABICA, GOSPIĆ;164;101;101;95;6;3;35;34;23;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;008;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI NOVI;LIČKI NOVI;242;125;125;123;2;5;44;45;27;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;009;GOSPIĆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;103;103;98;5;6;32;36;23;1
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;010;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;274;200;200;196;4;14;84;77;21;0
