Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA BUNJEVAÈKA STRANKA - HBS;HRVATSKA STRANKA PRAVA - HSP;LiPO;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;001;GOSPIÆ;PUÈKO OTVORENO UÈILIŠTE DR ANTE STARÈEVIÆA;ULICA DR. FRANJE TUÐMANA BR. 5, GOSPIÆ;952;613;613;602;11;41;170;200;181;1;9
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;002;GOSPIÆ;ZGRADA HRVATSKE POŠTE U GOSPIÆU;KANIŠKA ULICA BR. 53, GOSPIÆ;951;638;638;612;26;23;151;201;219;4;14
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;003;GOSPIÆ;ZGRADA DOMA ZDRAVLJA U GOSPIÆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIÆ;1377;742;742;726;16;50;188;296;174;4;14
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;004;GOSPIÆ;ZGRADA GIMNAZIJE U GOSPIÆU;BUDAÈKA ULICA BR. 24, GOSPIÆ;798;521;521;513;8;48;159;182;114;1;9
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;005;GOSPIÆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIÆU";BUŽIMSKA ULICA 10;1511;1026;1026;1002;24;72;317;387;201;3;22
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;006;GOSPIÆ;ÈITAONICA KANIŽA;KANIŽA GOSPIÆKA;375;239;239;235;4;12;58;86;79;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;007;GOSPIÆ;ÈITAONICA ŽABICA;ŽABICA, GOSPIÆ;164;101;101;96;5;7;30;29;30;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;008;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE LIÈKI NOVI;LIÈKI NOVI;242;125;125;122;3;9;46;29;36;1;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;009;GOSPIÆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;103;103;100;3;7;34;27;30;1;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;010;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;274;200;200;195;5;17;71;28;79;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;011;GOSPIÆ;OBITELJSKA KUÆA MILANA GENDE RIBNIK;RIBNIK 31/1;78;47;47;46;1;5;19;7;15;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;012;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE TRNOVAC;TRNOVAC;151;82;82;80;2;4;37;14;23;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;013;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE BRUŠANE;BRUŠANE;133;77;77;74;3;6;28;11;26;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;014;GOSPIÆ;ÈITAONICA BUDAK;BUDAK;119;74;74;72;2;3;17;28;22;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;015;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE MUŠALUK;MUŠALUK;168;84;84;84;0;6;26;31;18;0;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;016;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE LIÈKI OSIK;LIÈKI OSIK (NASELJE);1421;707;706;681;25;55;122;272;199;8;25
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;017;GOSPIÆ;KUÆA DRAGANA ŠOPA, LIÈKI OSIK (STARI) BR 64;LIÈKI OSIK (STARI);187;93;93;88;5;7;22;36;22;1;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;018;GOSPIÆ;ZGRADA DRUŠTVENOG DOMA  VREBAC;VREBAC;103;32;32;30;2;2;2;9;3;12;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;019;GOSPIÆ;MJESNI ODBOR MOGORIÆ;MOGORIÆ;94;31;31;30;1;3;1;3;6;13;4
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;020;GOSPIÆ;MJESNI ODBOR MEDAK;MEDAK;123;34;34;28;6;1;0;9;4;11;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;021;GOSPIÆ;ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN;SMILJAN;497;317;317;307;10;9;87;142;64;3;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;022;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE DEBELO BRDO;DEBELO BRDO;63;39;39;38;1;0;12;25;1;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;023;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE  BUŽIM;BUŽIM;86;53;53;50;3;0;21;11;15;1;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;024;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK;VELIKI ŽITNIK;44;23;23;22;1;4;4;9;3;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;025;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE KLANAC;KLANAC;192;109;109;104;5;3;33;39;25;1;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;026;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE ALEKSINICA;ALEKSINICA;123;69;69;68;1;4;17;24;22;0;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;027;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE KALINOVAÈA;KALINOVAÈA;108;63;63;59;4;2;17;30;9;0;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;028;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE NOVOSELIJA;NOVOSELIJA;202;124;124;111;13;4;50;36;20;0;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;029;GOSPIÆ;KUÆA MARIA JOVANOVIÆA;MALA PLANA 35 A;73;44;44;41;3;1;16;17;5;0;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;001;NOVALJA 1 - ZGRADA GRAD. MUZEJA;ZGRADA GRADSKOG MUZEJA NOVALJA - PRIZEMLJE;ZVONIMIROVA 27;1111;764;764;723;41;37;294;28;292;5;67
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;002;NOVALJA 2 - ZGRADA GRADA, VIJEÆNICA;ZGRADA G.NOVALJE -I. KAT, VIJEÆNICA;TRG DR. FRANJE TUÐMANA 1;1434;991;991;934;57;56;423;27;343;4;81
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;003;NOVALJA - LUN - ZGRADA PODRUÈNE ŠKOLE;ZGRADA PODRUÈNE ŠKOLE LUN;LUN;156;82;82;71;11;4;34;8;12;0;13
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;004;NOVALJA - ZGRADA PODRUÈNE ŠKOLE JAKIŠNICA;ZGRADA PODRUÈNE ŠKOLE JAKIŠNICA;JAKIŠNICA;134;79;79;73;6;3;36;6;17;2;9
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;005;NOVALJA - ZGRADA MO STARA NOVALJA;ZGRADA MO STARA NOVALJA - KAŠTEL;STARA NOVALJA;283;167;167;160;7;12;72;3;57;2;14
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;006;NOVALJA - ZGRADA MO METAJNA;ZGRADA MO METAJNA;METAJNA;214;181;181;176;5;7;102;5;55;1;6
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;007;NOVALJA - ZGRADA MO ZUBOVIÆI;ZGRADA MO ZUBOVIÆI;ZUBOVIÆI;167;123;123;119;4;4;57;4;50;2;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;NOVALJA;008;NOVALJA - ZGRADA MO KUSTIÆI;ZGRADA MO KUSTIÆI;KUSTIÆI;154;121;121;117;4;5;55;3;44;0;10
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;001;OTOÈAC - PODRUÈNA ŠKOLA HRVATSKO POLJE;PODRUÈNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;150;74;74;68;6;5;22;5;24;6;6
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;002;OTOÈAC - PODRUÈNA ŠKOLA KOMPOLJE;PODRUÈNA ŠKOLA KOMPOLJE;KOMPOLJE;495;246;246;239;7;10;75;28;112;3;11
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;003;OTOÈAC - PODRUÈNA ŠKOLA ŠVICA;PODRUÈNA ŠKOLA ŠVICA;ŠVICA;404;250;250;238;12;11;62;29;115;2;19
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;004;OTOÈAC - PODRUÈNA ŠKOLA LIPOVLJE;PODRUÈNA ŠKOLA LIPOVLJE;LIPOVLJE;191;94;94;92;2;8;38;13;27;0;6
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;005;OTOÈAC - PODRUÈNA ŠKOLA KUTEREVO;PODRUÈNA ŠKOLA KUTEREVO;KUTEREVO;404;233;233;224;9;12;66;35;107;2;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;006;OTOÈAC - AUTO-KLUB OTOÈAC;AUTO KLUB OTOÈAC;OTOÈAC, IVE SENJANINA 12;1304;779;779;756;23;51;228;196;233;7;41
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;007;OTOÈAC-OSNOVNA ŠKOLA OTOÈAC;OŠ OTOÈAC;OTOÈAC;568;374;374;357;17;20;68;112;128;2;27
09;LIÈKO-SENJSKA ŽUPANIJA;grad;OTOÈAC;008;OTOÈAC-ZGRADA GACKOG PUÈKOG  O. UÈ. (KAT);ZGRADA GACKOG  PUÈKOG O. UÈ.(KAT);OTOÈAC;834;507;507;494;13;24;141;102;187;7;33
