Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐURO BUKVIĆ;IVAN MAREKOVIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;001;TEREZINO POLJE;DRUŠTVENI DOM;TEREZINO POLJE;352;183;183;179;4;69;110
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;002;VELIKO POLJE;OSNOVNA ŠKOLA;VELIKO POLJE;103;47;47;46;1;26;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;003;VELIKO POLJE;DRUŠTVENI DOM;VELIKO POLJE;157;54;54;54;0;24;30
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;004;GORNJE BAZJE;DRUŠTVENI DOM;GORNJE BAZJE;379;215;215;209;6;191;18
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;005;TURANOVAC;PROSTORIJE MJESNOG ODBORA;TURANOVAC;599;262;262;257;5;162;95
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;006;KAPELA DVOR;DRUŠTVENI DOM;KAPELA DVOR;188;103;103;102;1;88;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;007;LUKAČ;OSNOVNA ŠKOLA;LUKAČ;371;178;178;174;4;140;34
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;008;BUDROVAC LUKAČKI;DRUŠTVENI DOM;BUDROVAC LUKAČKI;146;64;64;61;3;48;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;009;DUGO SELO LUKAČKO;DRUŠTVENI DOM;DUGO SELO LUKAČKO;447;172;172;163;9;105;58
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;010;BREZIK;PROSTORIJE MJESNOG ODBORA NA DJEČJEM IGRALIŠTU;BREZIK;180;88;88;88;0;68;20
