Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;001;TEREZINO POLJE;DRUŠTVENI DOM;TEREZINO POLJE;352;183;183;177;6;86;91
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;002;VELIKO POLJE;OSNOVNA ŠKOLA;VELIKO POLJE;103;48;48;44;4;31;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;003;VELIKO POLJE;DRUŠTVENI DOM;VELIKO POLJE;157;47;47;46;1;22;24
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;004;GORNJE BAZJE;DRUŠTVENI DOM;GORNJE BAZJE;379;215;215;206;9;179;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;005;TURANOVAC;PROSTORIJE MJESNOG ODBORA;TURANOVAC;599;262;262;256;6;167;89
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;006;KAPELA DVOR;DRUŠTVENI DOM;KAPELA DVOR;188;103;103;102;1;83;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;007;LUKAČ;OSNOVNA ŠKOLA;LUKAČ;371;170;170;163;7;128;35
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;008;BUDROVAC LUKAČKI;DRUŠTVENI DOM;BUDROVAC LUKAČKI;146;64;64;60;4;41;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;009;DUGO SELO LUKAČKO;DRUŠTVENI DOM;DUGO SELO LUKAČKO;447;172;172;162;10;108;54
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;LUKAČ;010;BREZIK;PROSTORIJE MJESNOG ODBORA NA DJEČJEM IGRALIŠTU;BREZIK;180;86;86;84;2;62;22
