Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JURAJ FOFONJKA;LANA JURKIN;RADOJE MEDENICA;ANA-MARIJA PETIN;SAŠA RISTER;VALENTINA ŠPALJ;DARKO ŽUŽAK
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;001;DONJA PIŠTANA;DRUŠTVENI DOM;BANA JELAČIĆA 18;219;122;122;122;0;9;6;46;13;36;4;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;002;ORAHOVICA;ZGRADA RADLOVAC;TRG PLEMENITIH MIHALOVIĆA 12;796;464;464;448;16;18;34;74;60;163;35;64
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;003;ORAHOVICA;DOM UDRUŽENJA OBRTNIKA;K.ZVONIMIRA 45;565;317;317;313;4;17;14;53;38;97;22;72
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;004;ORAHOVICA;DOM UMIROVLJENIKA;TRG BANA I. MAŽURANIĆA 7;413;243;243;234;9;17;8;36;20;82;29;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;005;ORAHOVICA;ZGRADA ŠUMARIJE;ZELENA 3;969;587;587;569;18;21;41;75;47;207;42;136
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;006;ORAHOVICA;DRUŠTVENI DOM U DOLJANIMA;TRG DAMIRA HORNUNGA 2;519;263;263;259;4;26;16;40;22;84;9;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;007;DOLCI;VATROGASNI DOM;DOLCI 65;244;155;155;152;3;6;16;3;35;72;5;15
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;008;CRKVARI;VATROGASNI DOM;CRKVARI 12;125;83;83;80;3;0;6;11;13;44;2;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;009;NOVA JOŠAVA;VATROGASNI DOM;NOVA JOŠAVA 49;139;76;76;75;1;1;7;6;11;38;1;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;010;STARA JOŠAVA;VATROGASNI DOM;STARA JOŠAVA 45;207;130;130;125;5;6;9;10;6;55;19;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;011;DUZLUK;DRUŠTVENI DOM;MANASTIRSKA 9;140;21;21;21;0;0;3;2;1;9;0;6
