Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, ZELENA LISTA, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;001;KLADARE;VATROGASNI DOM;KLADARE 33 B;360;198;198;192;6;6;124;23;12;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;002;DINJEVAC;PODRUČNA ŠKOLA;DINJEVAC, VLADIMIRA NAZORA 60;344;201;201;194;7;17;154;10;4;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;003;GRABROVNICA;PODRUČNA ŠKOLA;GRABROVNICA 98 A;323;192;192;187;5;23;103;31;12;18
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;004;STAROGRADAČKI MAROF;PODRUČNA ŠKOLA;STAROGRADAČKI MAROF 6 A;170;112;112;111;1;22;78;1;1;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;005;STARI GRADAC;PODRUČNA ŠKOLA;STARI GRADAC, VLADIMIRA NAZORA 115 B;522;256;255;249;6;33;168;15;12;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;006;TURNAŠICA;PODRUČNA ŠKOLA;TURNAŠICA, TRG STJEPANA SULIMANCA 5;249;120;120;118;2;9;71;7;15;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;007;SEDLARICA;PODRUČNA ŠKOLA;SEDLARICA 65 A;258;164;164;160;4;22;94;28;3;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;008;VELIKA ČREŠNJEVICA;PODRUČNA ŠKOLA;VELIKA ČREŠNJEVICA 130;370;197;197;187;10;10;147;7;4;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;009;MALA ČREŠNJEVICA;PODRUČNA ŠKOLA;MALA ČREŠNJEVICA 105;156;77;77;72;5;13;45;6;4;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;010;OTROVANEC;PODRUČNA ŠKOLA;OTROVANEC 89 A;480;244;244;232;12;19;133;53;15;12
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;011;PITOMAČA;VATROGASNI DOM;VINOGRADSKA 32;469;219;219;217;2;36;83;21;27;50
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;012;PITOMAČA;OPĆINA PITOMAČA;LJUDEVITA GAJA 26/I;423;223;223;220;3;21;119;16;22;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;013;PITOMAČA;ZGRADA UDRUŽENJA OBRTNIKA OPĆINE PITOMAČA;PETRA PRERADOVIĆA 5;381;184;184;179;5;23;93;11;18;34
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;014;PITOMAČA;PRIVATNA KUĆA VLADE SILADIĆA;PITOMAČA, BRAĆE RADIĆA 70;543;120;120;117;3;49;48;4;10;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;015;PITOMAČA;PRIVATNA KUĆA MARINE JAKUPEC;VLADIMIRA NAZORA 85 A;432;108;108;106;2;28;50;7;12;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;016;PITOMAČA;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;TRG KRALJA TOMISLAVA 9;485;212;212;204;8;21;101;32;26;24
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;017;PITOMAČA;DRUŠTVENI DOM-GREDA;MIHOVILA PAVLEKA MIŠKINE 55 A;526;245;245;240;5;35;129;20;20;36
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;018;PITOMAČA;PRIVATNA KUĆA MARIJE DENT;PITOMAČA, LJUDEVITA GAJA 77;512;258;258;253;5;35;129;14;30;45
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;019;PITOMAČA;PRIVATNA KUĆA JELE MILANOVIĆ;DRAVSKA 104;361;180;180;173;7;22;82;6;50;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;020;PITOMAČA;PRIVATNA KUĆA ĐURE FONJAKA;DRAVSKA 247 F;359;123;123;122;1;32;53;11;9;17
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;021;KRIŽNICA;DRUŠTVENI DOM;KRIŽNICA 30;105;57;57;56;1;6;41;5;2;2
