Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SINIŠA HORVAT
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;001;BOROVA;HRVATSKI DOM;TRG KRALJA TOMISLAVA 9;463;152;152;144;8;144
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;002;BUDANICA;DRUŠTVENI DOM MJESNOG ODBORA;BUDANICA 64;78;27;27;20;7;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;003;CABUNA;DRUŠTVENI DOM MJESNOG ODBORA;ALOJZIJA STEPINCA 1;732;260;260;209;51;209
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;004;GAĆIŠTE;DRUŠTVENI DOM MJESNOG ODBORA;GAĆIŠTE 101;159;53;53;48;5;48
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;005;JUGOVO POLJE;DRUŠTVENI DOM MJESNOG ODBORA;TRG SV.PETRA I PAVLA 18;238;103;103;81;22;81
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;006;LEVINOVAC;OSNOVNA ŠKOLA;LEVINOVAC 58;161;61;61;58;3;58
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;007;NAUDOVAC;ZGRADA MJESNOG ODBORA;NAUDOVAC 45;117;88;88;81;7;81
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;008;OREŠAC;DRUŠTVENI DOM MJESNOG ODBORA;OREŠAC 87;296;120;120;108;12;108
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;009;PČELIĆ;DRUŠTVENI DOM MJESNOG ODBORA;PČELIĆ BB;328;133;133;117;16;117
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;010;PEPELANA;DRUŠTVENI DOM MJESNOG ODBORA;PEPELANA 135;112;39;39;35;4;35
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;011;PIVNICA SLAVONSKA;DRUŠTVENI DOM MJESNOG ODBORA;PIVNICA SLAVONSKA 30;83;19;19;18;1;18
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;012;SUHOPOLJE;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 26;1302;448;448;323;125;323
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;013;SUHOPOLJE;PRIVATNA KUĆA;KAPAN 62;146;36;36;30;6;30
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;014;SUHOPOLJE;HRVATSKI DOM;TRG SVETE TEREZIJE 10;909;360;360;291;69;291
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;015;MALA TRAPINSKA;DRUŠTVENI DOM MJESNOG ODBORA;MALA TRAPINSKA 6A;78;39;39;37;2;37
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;016;TRNAVA CABUNSKA;PRIVATNA KUĆA;TRNAVA CABUNSKA 41;46;14;14;12;2;12
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;017;ZVONIMIROVO;DRUŠTVENI DOM MJESNOG ODBORA;STJEPANA RADIĆA 1;75;32;32;32;0;32
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;018;ŽUBRICA;DRUŠTVENI DOM MJESNOG ODBORA;ŽUBRICA 50;83;35;35;33;2;33
