Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA STRANKA PRAVA - HSP;HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD, MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;001;ÈEMERNICA;DOM MJESNOG ODBORA ÈEMERNICA;ULICA KARDINALA FRANJE KUHARIÆA 1;587;271;271;260;11;30;136;6;3;25;60
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;002;GOLO BRDO;DOM MJESNOG ODBORA GOLO BRDO;GOLO BRDO 78;296;152;152;145;7;25;68;3;7;34;8
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;003;JASENAŠ;DOM MJESNOG ODBORA JASENAŠ;ULICA JASENAŠ 66;74;22;22;21;1;9;1;4;0;2;5
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;004;KORIJA;PODRUÈNA ŠKOLA KORIJA;ULICA MARKA OREŠKOVIÆA BB;683;261;261;242;19;31;130;8;3;25;45
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;005;MILANOVAC;PODRUÈNA ŠKOLA MILANOVAC;ULICA 30.SVIBNJA 31;773;319;319;311;8;51;145;5;7;49;54
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;006;MILANOVAC;DOM MJESNOG ODBORA MILANOVAC;ULICA 30. SVIBNJA BB;701;320;320;307;13;44;162;3;9;45;44
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;007;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIÈKA ULICA 3;697;331;331;317;14;29;167;5;17;38;61
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;008;REZOVAC;PODRUÈNA ŠKOLA REZOVAC, UÈIONICA BR. 1;ULICA NOVI REZOVAC 70;641;227;227;212;15;31;127;6;1;32;15
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;009;REZOVAC;PODRUÈNA ŠKOLA REZOVAC, UÈIONICA BR. 2;ULICA NOVI REZOVAC 70;470;139;139;134;5;35;71;3;1;14;10
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;010;REZOVAÈKE KRÈEVINE;PODRUÈNA ŠKOLA REZOVAÈKE KRÈEVINE;ULICA SVETOG MIHOVILA 1;269;126;126;120;6;5;90;0;1;14;10
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;011;SVETI ÐURAÐ;DOM MJESNOG ODBORA SVETI ÐURAÐ;MLINSKA ULICA 1;497;258;258;244;14;28;165;3;4;22;22
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;012;TABORIŠTE;PODRUÈNA ŠKOLA TABORIŠTE, UÈIONICA 1;PODRAVSKA ULICA BB;808;340;340;327;13;68;149;8;6;31;65
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;013;TABORIŠTE;PODRUÈNA ŠKOLA TABORIŠTE, UÈIONICA 2;PODRAVSKA ULICA BB;671;314;314;302;12;67;148;6;5;51;25
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;014;VIROVITICA;ZAVOD ZA ZAPOŠLJAVANJE, PODRUÈNA SLUŽBA VIROVITICA;ULICA ANTUNA MIHANOVIÆA 40;740;395;395;383;12;59;176;4;4;59;81
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;015;VIROVITICA;GLAZBENA ŠKOLA JAN VLAŠIMSKY VIROVITICA;ULICA ANTUNA MIHANOVIÆA 21;635;343;343;334;9;34;192;5;1;36;66
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;016;VIROVITICA;OSNOVNA ŠKOLA IVANE BRLIÆ MAŽURANIÆ;ULICA TINA UJEVIÆA 18;507;280;279;274;5;43;111;4;1;44;71
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;017;VIROVITICA;HOK-OSIGURANJE D.D.;ULICA STJEPANA RADIÆA 66;470;220;220;213;7;31;95;4;3;20;60
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;018;VIROVITICA;BIVŠI VATROGASNI DOM;TRG KRALJA ZVONIMIRA 2;620;317;317;308;9;37;148;9;7;47;60
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;019;VIROVITICA;DOM UMIROVLJENIKA;ULICA MATIJE GUPCA 12;460;220;220;214;6;43;73;3;6;49;40
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;020;VIROVITICA;VISOKA ŠKOLA VIROVITICA (BIVŠA ''VOJARNA'');ULICA MATIJE GUPCA 78;556;234;234;226;8;22;130;2;3;41;28
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;021;VIROVITICA;ELEKTRA VIROVITICA;ULICA ANTUNA MIHANOVIÆA 42;635;317;317;307;10;54;155;5;3;31;59
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;022;VIROVITICA;AUTOŠKOLA ARTIS;ULICA ÐURE BASARIÈEKA 20 (PROSTOR PREDAVAONICE);886;463;463;449;14;74;171;11;4;61;128
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;023;VIROVITICA;OSNOVNA ŠKOLA VLADIMIR NAZOR;ULICA TOMAŠA MASARYKA 21;707;359;359;350;9;49;162;5;9;54;71
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;024;VIROVITICA;DJEÈJI VRTIÆ CVRÈAK (JASLICE);PEJAÈEVIÆEVA ULICA 1;884;449;449;432;17;66;219;11;3;43;90
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;025;VIROVITICA;KAZALIŠTE VIROVITICA;TRG LJUDEVITA PATAÈIÆA 2;609;286;286;282;4;34;141;4;7;43;53
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;026;VIROVITICA;VETERINARSKA STANICA VIROVITICA D.O.O.;ULICA JOSIPA JURJA STROSSMAYERA 38;804;352;352;340;12;40;160;13;11;58;58
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;027;VIROVITICA;CENTAR ZA SOCIJALNU SKRB;ULICA VLADIMIRA NAZORA 1;388;206;206;201;5;16;112;2;1;30;40
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;028;VIROVITICA;''OPECO'' VIROVITICA;ULICA JOSIPA JURJA STROSSMAYERA 106;646;276;276;266;10;55;127;2;6;30;46
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;029;VIROVITICA;TEHNIÈKA ŠKOLA;ULICA ZBORA NARODNE GARDE 29;904;365;365;341;24;40;154;7;6;46;88
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;030;VIROVITICA;FLORA VTC D.O.O.;VUKOVARSKA CESTA 5;634;266;266;258;8;34;141;2;4;26;51
