Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR PAVKOVIĆ;STANIŠA ŽARKOVIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;001;DONJA PIŠTANA;DRUŠTVENI DOM;BANA JELAČIĆA 18;67;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;002;ORAHOVICA;ZGRADA RADLOVAC;TRG PLEMENITIH MIHALOVIĆA 12;63;5;5;5;0;4;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;003;ORAHOVICA;DOM UDRUŽENJA OBRTNIKA;K.ZVONIMIRA 45;58;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;004;ORAHOVICA;DOM UMIROVLJENIKA;TRG BANA I. MAŽURANIĆA 7;48;5;5;5;0;5;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;005;ORAHOVICA;ZGRADA ŠUMARIJE;ZELENA 3;71;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;006;ORAHOVICA;DRUŠTVENI DOM U DOLJANIMA;TRG DAMIRA HORNUNGA 2;47;2;2;2;0;1;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;007;DOLCI;VATROGASNI DOM;DOLCI 65;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;008;CRKVARI;VATROGASNI DOM;CRKVARI 12;19;6;6;6;0;5;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;009;NOVA JOŠAVA;VATROGASNI DOM;NOVA JOŠAVA 49;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;010;STARA JOŠAVA;VATROGASNI DOM;STARA JOŠAVA 45;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;011;DUZLUK;DRUŠTVENI DOM;MANASTIRSKA 9;44;2;2;2;0;1;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIĆ;PODRUČNA OSNOVNA ŠKOLA BAKIĆ;BAKIĆ;16;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;23;3;3;3;0;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;003;DONJI MELJANI;PODRUČNA OSNOVNA ŠKOLA;DONJI MELJANI;24;5;5;4;1;2;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;004;GOLENIĆ;DOM MJESNOG ODBORA;GOLENIĆ;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;005;GORNJI MIHOLJAC;PODRUČNA OSNOVNA ŠKOLA;GORNJI MIHOLJAC;28;11;11;11;0;11;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;006;IVANBRIJEG;KUĆA U VLASNIŠTVU ŽELJKA CVETIĆA;IVANBRIJEG BB;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;007;KOZICE;DOM MJESNOG ODBORA;KOZICE;18;3;3;3;0;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;008;LUKAVAC;DOM MJESNOG ODBORA;LUKAVAC;13;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;009;MARKOVO;DOM  MJESNOG ODBORA;MARKOVO;7;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;010;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;49;20;20;18;2;14;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;011;NOVI SENKOVAC;PODRUČNA OSNOVNA ŠKOLA;NOVI SENKOVAC;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;012;RADOSAVCI;KUĆA U VLASNIŠTVU ZDENKA FODORA;RADOSAVCI 14;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;013;SLADOJEVAČKI LUG;DOM MJESNOG ODBORA;SLADOJEVAČKI LUG;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;014;SLADOJEVCI;PODRUČNA OSNOVNA ŠKOLA;SLADOJEVCI;11;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;015;SLATINA;DOM MJESNOG ODBORA BRAĆE RADIĆ I MATIJA GUBEC (ZGRADA ''III.RAJON'');BRAĆE RADIĆA 124;54;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;016;SLATINA;ZGRADA HRVATSKOG DOMA;BRAĆE RADIĆA 4;56;11;11;11;0;8;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;017;SLATINA;INDUSTRIJSKO-OBRTNIČKA ŠKOLA SLATINA;TRG RUĐERA BOŠKOVIĆA 5 A;87;5;5;5;0;3;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;018;SLATINA;"ZGRADA DJEČJEG VRTIĆA ""ZEKO""";TRG ZBORA NARODNE GARDE 1;94;20;20;20;0;15;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;019;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG DRUŠTVA CRVENOG KRIŽA;BRAĆE RADIĆA 13A;91;7;7;7;0;3;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;020;SLATINA;DOM DVD-A;ANTE KOVAČIĆA 4;68;10;10;10;0;7;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;021;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;84;7;7;6;1;6;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;022;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;66;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;023;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;55;4;4;4;0;4;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;024;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIĆA ZRINSKOG 2;90;9;9;9;0;5;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;025;SLATINA;OSNOVNA ŠKOLA EUGENA KUMIČIĆA;DOBRIŠE CESARIĆA 24;94;10;10;10;0;6;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;026;SLATINA;"DOM MJESNOG ODBORA ""VLADIMIR NAZOR""";SLATINA;61;7;7;7;0;6;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;001;ČEMERNICA;DOM MJESNOG ODBORA ČEMERNICA;ULICA KARDINALA FRANJE KUHARIĆA 1;21;1;1;1;0;0;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;002;GOLO BRDO;DOM MJESNOG ODBORA GOLO BRDO;GOLO BRDO 78;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;003;JASENAŠ;DOM MJESNOG ODBORA JASENAŠ;ULICA JASENAŠ 66;32;3;3;3;0;0;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;004;KORIJA;PODRUČNA ŠKOLA KORIJA;ULICA MARKA OREŠKOVIĆA BB;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;005;MILANOVAC;PODRUČNA ŠKOLA MILANOVAC;ULICA 30.SVIBNJA 31;31;3;3;3;0;0;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;006;MILANOVAC;DOM MJESNOG ODBORA MILANOVAC;ULICA 30. SVIBNJA BB;8;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;007;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIČKA ULICA 3;12;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;008;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 1;ULICA NOVI REZOVAC 70;22;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;009;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 2;ULICA NOVI REZOVAC 70;12;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;010;REZOVAČKE KRČEVINE;PODRUČNA ŠKOLA REZOVAČKE KRČEVINE;ULICA SVETOG MIHOVILA 1;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;011;SVETI ĐURAĐ;DOM MJESNOG ODBORA SVETI ĐURAĐ;MLINSKA ULICA 1;15;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;012;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 1;PODRAVSKA ULICA BB;20;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;013;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 2;PODRAVSKA ULICA BB;15;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;014;VIROVITICA;ZAVOD ZA ZAPOŠLJAVANJE, PODRUČNA SLUŽBA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 40;33;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;015;VIROVITICA;GLAZBENA ŠKOLA JAN VLAŠIMSKY VIROVITICA;ULICA ANTUNA MIHANOVIĆA 21;20;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;016;VIROVITICA;OSNOVNA ŠKOLA IVANE BRLIĆ MAŽURANIĆ;ULICA TINA UJEVIĆA 18;20;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;017;VIROVITICA;HOK-OSIGURANJE D.D.;ULICA STJEPANA RADIĆA 66;28;5;5;5;0;0;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;018;VIROVITICA;BIVŠI VATROGASNI DOM;TRG KRALJA ZVONIMIRA 2;26;4;4;4;0;1;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;019;VIROVITICA;DOM UMIROVLJENIKA;ULICA MATIJE GUPCA 12;21;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;020;VIROVITICA;VISOKA ŠKOLA VIROVITICA (BIVŠA ''VOJARNA'');ULICA MATIJE GUPCA 78;17;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;021;VIROVITICA;ELEKTRA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 42;21;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;022;VIROVITICA;AUTOŠKOLA ARTIS;ULICA ĐURE BASARIČEKA 20 (PROSTOR PREDAVAONICE);87;14;14;14;0;4;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;023;VIROVITICA;OSNOVNA ŠKOLA VLADIMIR NAZOR;ULICA TOMAŠA MASARYKA 21;46;3;3;3;0;1;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;024;VIROVITICA;DJEČJI VRTIĆ CVRČAK (JASLICE);PEJAČEVIĆEVA ULICA 1;42;6;6;6;0;2;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;025;VIROVITICA;KAZALIŠTE VIROVITICA;TRG LJUDEVITA PATAČIĆA 2;11;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;026;VIROVITICA;VETERINARSKA STANICA VIROVITICA D.O.O.;ULICA JOSIPA JURJA STROSSMAYERA 38;22;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;027;VIROVITICA;CENTAR ZA SOCIJALNU SKRB;ULICA VLADIMIRA NAZORA 1;36;3;3;3;0;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;028;VIROVITICA;''OPECO'' VIROVITICA;ULICA JOSIPA JURJA STROSSMAYERA 106;8;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;029;VIROVITICA;TEHNIČKA ŠKOLA;ULICA ZBORA NARODNE GARDE 29;72;3;3;3;0;0;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;030;VIROVITICA;FLORA VTC D.O.O.;VUKOVARSKA CESTA 5;33;2;2;2;0;0;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;001;CRNAC;VIJEĆNICA OPĆINE CRNAC;ZRINSKA 2;42;1;1;1;0;1;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;002;VELIKI RASTOVAC;OSNOVNA ŠKOLA;VELIKI RASTOVAC 39;4;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;003;BREŠTANOVCI;MJESNI DOM;KOLODVORSKA BB;20;2;2;2;0;2;0
