Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IGOR ANDROVIÆ;DANIEL SPAJIÆ;MATE VUKUŠIÆ
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;001;DONJA PIŠTANA;DRUŠTVENI DOM;BANA JELAÈIÆA 18;219;122;122;111;11;50;10;51
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;002;ORAHOVICA;ZGRADA RADLOVAC;TRG PLEMENITIH MIHALOVIÆA 12;796;464;464;421;43;248;54;119
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;003;ORAHOVICA;DOM UDRUŽENJA OBRTNIKA;K.ZVONIMIRA 45;565;317;317;297;20;178;30;89
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;004;ORAHOVICA;DOM UMIROVLJENIKA;TRG BANA I. MAŽURANIÆA 7;413;243;243;222;21;130;25;67
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;005;ORAHOVICA;ZGRADA ŠUMARIJE;ZELENA 3;969;587;587;530;57;334;66;130
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;006;ORAHOVICA;DRUŠTVENI DOM U DOLJANIMA;TRG DAMIRA HORNUNGA 2;519;263;263;243;20;133;58;52
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;007;DOLCI;VATROGASNI DOM;DOLCI 65;244;155;155;142;13;98;26;18
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;008;CRKVARI;VATROGASNI DOM;CRKVARI 12;125;83;83;78;5;50;14;14
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;009;NOVA JOŠAVA;VATROGASNI DOM;NOVA JOŠAVA 49;139;76;76;72;4;50;8;14
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;010;STARA JOŠAVA;VATROGASNI DOM;STARA JOŠAVA 45;207;130;130;120;10;79;23;18
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;011;DUZLUK;DRUŠTVENI DOM;MANASTIRSKA 9;140;66;66;58;8;27;9;22
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIÆ;PODRUÈNA OSNOVNA ŠKOLA BAKIÆ;BAKIÆ;426;190;190;184;6;150;22;12
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;117;40;40;38;2;17;12;9
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;003;DONJI MELJANI;PODRUÈNA OSNOVNA ŠKOLA;DONJI MELJANI;203;94;94;93;1;56;32;5
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;004;GOLENIÆ;DOM MJESNOG ODBORA;GOLENIÆ;18;10;10;7;3;2;4;1
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;005;GORNJI MIHOLJAC;PODRUÈNA OSNOVNA ŠKOLA;GORNJI MIHOLJAC;177;110;110;107;3;92;11;4
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;006;IVANBRIJEG;KUÆA U VLASNIŠTVU ŽELJKA CVETIÆA;IVANBRIJEG BB;28;13;13;13;0;11;0;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;007;KOZICE;DOM MJESNOG ODBORA;KOZICE;392;169;169;163;6;121;27;15
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;008;LUKAVAC;DOM MJESNOG ODBORA;LUKAVAC;79;35;35;33;2;28;3;2
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;009;MARKOVO;DOM  MJESNOG ODBORA;MARKOVO;108;46;46;44;2;29;9;6
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;010;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;177;69;69;63;6;26;13;24
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;011;NOVI SENKOVAC;PODRUÈNA OSNOVNA ŠKOLA;NOVI SENKOVAC;221;97;97;93;4;68;12;13
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;012;RADOSAVCI;KUÆA U VLASNIŠTVU ZDENKA FODORA;RADOSAVCI 14;82;53;53;51;2;36;4;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;013;SLADOJEVAÈKI LUG;DOM MJESNOG ODBORA;SLADOJEVAÈKI LUG;71;30;30;30;0;17;7;6
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;014;SLADOJEVCI;PODRUÈNA OSNOVNA ŠKOLA;SLADOJEVCI;580;210;210;203;7;143;36;24
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;015;SLATINA;DOM MJESNOG ODBORA BRAÆE RADIÆ I MATIJA GUBEC (ZGRADA ''III.RAJON'');BRAÆE RADIÆA 124;656;257;257;247;10;170;52;25
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;016;SLATINA;ZGRADA HRVATSKOG DOMA;BRAÆE RADIÆA 4;657;318;318;302;16;190;65;47
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;017;SLATINA;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA SLATINA;TRG RUÐERA BOŠKOVIÆA 5 A;608;272;272;248;24;144;51;53
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;018;SLATINA;"ZGRADA DJEÈJEG VRTIÆA ""ZEKO""";TRG ZBORA NARODNE GARDE 1;637;306;306;285;21;160;48;77
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;019;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG DRUŠTVA CRVENOG KRIŽA;BRAÆE RADIÆA 13A;869;319;319;298;21;183;68;47
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;020;SLATINA;DOM DVD-A;ANTE KOVAÈIÆA 4;669;272;272;255;17;130;61;64
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;021;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;634;282;282;264;18;161;41;62
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;022;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;640;250;250;240;10;141;56;43
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;023;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;714;317;317;305;12;195;65;45
