Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, DOMOVINSKI POKRET - DP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;001;OSNOVNA ŠKOLA STJEPANA RADIÆA, ÈAGLIN;ÈAGLIN;VLADIMIRA NAZORA 3;482;259;259;253;6;185;37;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;002;DRUŠTVENO VATROGASNI DOM;RUŠEVO;RUŠEVO BB;198;86;86;86;0;61;3;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;003;DRUŠTVENO VATROGASNI DOM;DJEDINA RIJEKA;DJEDINA RIJEKA BB;89;48;48;47;1;39;4;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;004;SEOSKI DOM;VELIKI BILAÈ;VELIKI BILAÈ BB;29;9;9;7;2;0;0;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;005;SEOSKI DOM;LATINOVAC;LATINOVAC BB;71;33;33;33;0;11;5;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;006;PRIVATNA KUÆA JURE RADMANA;NOVA LIPOVICA;NOVA LIPOVICA 1;18;4;4;4;0;3;1;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;007;SEOSKI DOM;VLATKOVAC;VLATKOVAC BB;67;24;24;24;0;13;10;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;008;SEOSKI DOM;KNEŽEVAC;KNEŽEVAC BB;57;38;38;38;0;24;14;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;009;PROSTORIJA UZ TRGOVINU;STARI ZDENKOVAC;STARI ZDENKOVAC 13;25;18;18;15;3;4;9;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;010;PRIVATNA KUÆA ANDRIJE JAMBREÈINE;MOKREŠ;MOKREŠ 24;21;18;18;18;0;7;11;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;011;SEOSKI DOM;SIBOKOVAC;SIBOKOVAC BB;28;9;9;9;0;3;1;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;012;PRIVATNA KUÆA STJEPANA GRGURIÆA;JEZERO;JEZERO 23;15;4;4;4;0;4;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;013;SEOSKI DOM;SOVSKI DOL;SOVSKI DOL BB;70;25;25;21;4;12;4;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;014;SEOSKI DOM;PAKA;PAKA BB;25;15;15;15;0;11;2;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;015;OSNOVNA ŠKOLA;IMRIJEVCI;IMRIJEVCI BB;22;11;11;11;0;9;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;016;OSNOVNA ŠKOLA;MIGALOVCI;MIGALOVCI BB;101;43;43;41;2;23;4;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;017;SEOSKI DOM;SAPNA;SAPNA BB;50;17;17;17;0;9;2;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;018;DRUŠTVENO VATROGASNI DOM;NOVA LJESKOVICA;JOSIPA KNEŽEVIÆA BB;185;87;87;84;3;62;5;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;019;DRUŠTVENI DOM;MILANLUG;MILANLUG 51;167;83;83;79;4;54;17;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;020;DRUŠTVENI DOM;VUKOJEVICA;VUKOJEVICA BB;57;22;22;22;0;13;3;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;021;PRIVATNA KUÆA STJEPANA KRALJAKA;DUBOKA;DUBOKA 50A;40;23;23;23;0;3;6;14
