Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MILE PAVIÈIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;517;151;151;133;18;133
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUÐMANA 3;621;211;211;184;27;184
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;003;OBITELJSKA KUÆA MATE JURIÆA;KOMAROVCI;KOMAROVCI 15;146;45;45;39;6;39
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;350;128;128;123;5;123
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;005;DRUŠTVENI DOM;ÈEŠLJAKOVCI;ÈEŠLJAKOVCI 56;231;105;105;95;10;95
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;256;78;78;73;5;73
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;160;83;83;66;17;66
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;69;26;26;24;2;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;009;OBITELJSKA KUÆA ZDRAVKA LOVRIÆA;BEŠINCI;BEŠINCI 17;69;23;23;21;2;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;184;76;76;68;8;68
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;207;93;93;81;12;81
