Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;001;OSNOVNA ŠKOLA LIPIK;LIPIK;ŠKOLSKA 25;684;312;312;302;10;82;161;34;3;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;002;DRUŠTVENI DOM U LIPIKU;LIPIK;SLAVONSKA 45;461;224;224;215;9;70;101;27;5;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;003;GRADSKA UPRAVA U LIPIKU;LIPIK;MARIJE TEREZIJE 27;652;290;290;280;10;58;162;31;10;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;004;DRUŠTVENI DOM U ANTUNOVCU;ANTUNOVAC;POLJANSKA 79;286;116;116;110;6;23;62;20;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;005;DRUŠTVENI DOM U BREKINSKOJ;BREKINSKA;BREKINSKA 65;108;77;77;74;3;4;47;21;2;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;006;DRUŠTVENI DOM U BREZINAMA;BREZINE;BREZINE 49;175;81;81;79;2;26;42;10;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;007;BUJAVICA (BIVŠI LAKTOFRIZ);BUJAVICA;BUJAVICA BB;24;7;7;7;0;1;2;0;4;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;008;OSNOVNA ŠKOLA U DOBROVCU;DOBROVAC;STJEPANA RADIÆA 54;325;153;153;151;2;56;78;10;2;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;009;KUÆA BORISA KOPA, DONJI ÈAGLIÆ;DONJI ÈAGLIÆ;UL. ROBERTA ŽILIJA 96;316;143;143;134;9;24;64;7;14;25
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;010;DRUŠTVENI DOM U FILIPOVCU;FILIPOVAC;TABOR 14;311;142;142;135;7;50;54;19;1;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;011;DRUŠTVENI DOM U GAJU;GAJ;SLAVKA SUDRE 2;228;144;144;142;2;23;70;44;1;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;012;DRUŠTVENI DOM U JAPAGI;JAPAGA;PSUNJSKA 11;141;54;54;52;2;5;26;2;15;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;013;JAGMA (BIVŠI LAKTOFRIZ);JAGMA;JAGMA 52 A;36;16;16;15;1;0;7;0;5;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;014;DRUŠTVENI DOM U KLISI;KLISA;KLISA 42;65;43;43;43;0;8;32;3;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;015;DRUŠTVENI DOM U KUKUNJEVCU;KUKUNJEVAC;FRANJE FILIPOVIÆA 106;211;96;96;93;3;18;33;14;16;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;016;DRUŠTVENI DOM U MARINOM SELU;MARINO SELO;MARINO SELO 55 A;218;110;110;110;0;30;60;20;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;017;OSNOVNA ŠKOLA U POLJANI;POLJANA;ANTUNOVAÈKA 23;426;177;177;172;5;21;105;37;1;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;018;DRUŠTVENI DOM U ŠEOVICI;ŠEOVICA;OMANOVAÈKA 93;211;76;76;70;6;8;42;5;13;2
