Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SLAVKO BONIĆ;MIRELA MEZAK MATIJEVIĆ;MARIJA ŠARIĆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;001;GRADSKA VIJEĆNICA;PLETERNICA;TRG HRVATSKIH BRANITELJA 1;525;310;310;296;14;19;111;166
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;002;VATROGASNI DOM;PLETERNICA;S. RADIĆA 2;893;481;481;470;11;28;167;275
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;003;KUĆA STJEPANA GALOVIĆA;PLETERNICA;VLADIMIRA NAZORA 14;516;241;241;231;10;26;71;134
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;004;KUĆA NEDJELJKA BUŠIĆA;PLETERNICA;E. PODUBSKOG 20;519;295;295;282;13;22;78;182
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;005;"KUD ""ORLJAVA""";PLETERNICA;B. J. JELAČIĆA 25;412;198;198;190;8;15;84;91
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;006;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";KUZMICA;KUZMICA 90;591;285;285;271;14;25;64;182
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;007;KUĆA MILE GRBEŠA;VIŠKOVCI;VIŠKOVCI 16;193;95;95;93;2;8;15;70
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;008;SEOSKI DOM;BLACKO;BLACKO BB;171;91;91;86;5;4;32;50
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;009;SEOSKI DOM;TRAPARI;TRAPARI;132;74;74;73;1;4;21;48
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;010;KUĆA MARKA MEŠTROVIĆA;NOVOSELCI;NOVOSELCI 67;160;80;80;75;5;5;19;51
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;011;VATROGASNI DOM;LAKUŠIJA;LAKUŠIJA BB;65;34;34;33;1;1;3;29
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;012;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";SESVETE;SESVETE BB;104;63;63;63;0;0;19;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;013;KUĆA DRAGANA TURKOVIĆA;ĆOSINAC;ĆOSINAC 30;41;20;20;20;0;1;1;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;014;VATROGASNI DOM;SULKOVCI;SULKOVCI BB;456;186;186;180;6;10;55;115
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;015;SEOSKI DOM;BRESNICA;BRESNICA BB;180;94;94;89;5;5;28;56
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;016;SEOSKI DOM;BZENICA;BZENICA BB;83;61;61;59;2;3;23;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;017;VATROGASNI DOM;POŽEŠKA KOPRIVNICA;POŽEŠKA KOPRIVNICA BB;210;99;99;97;2;2;24;71
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;018;SEOSKI DOM;KOMORICA;KOMORICA BB;127;91;91;86;5;2;30;54
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;019;DRUŠTVENI DOM;RATKOVICA;RATKOVICA BB;206;92;92;83;9;2;9;72
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;020;PROSTOR STARE AMBULANTE;BRODSKI DRENOVAC;BRODSKI DRENOVAC BB;599;210;210;200;10;7;37;156
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;021;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";BUČJE;BUČJE 38;225;116;116;113;3;1;31;81
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;022;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";ZAGRAĐE;ZAGRAĐE 37;363;201;201;187;14;10;40;137
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;023;SEOSKI DOM;BILICE;BILICE BB;140;96;96;94;2;3;17;74
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;024;KUĆA MARIJE KOVAČEVIĆ;BRĐANI;BRĐANI 34;33;14;14;14;0;0;5;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;025;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";GRADAC;STJEPANA RADIĆA 211;772;393;393;381;12;91;72;218
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;026;SEOSKI DOM;AŠIKOVCI;AŠIKOVCI BB;68;36;36;34;2;2;7;25
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;027;"OŠ ""FRA KAJE ADŽIĆA"", PODRUČNA ŠKOLA";ZARILAC;ZARILAC 39;127;67;67;66;1;2;27;37
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;028;VATROGASNI DOM;KNEŽCI;KNEŽCI BB;43;32;32;28;4;1;3;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;029;VATROGASNI DOM;BUK;BUK BB;463;272;272;264;8;24;76;164
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;030;SEOSKI DOM;KALINIĆ;KALINIĆ BB;52;42;42;42;0;1;13;28
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;031;KUĆA ĐURE LOMBAR;PLETERNIČKI MIHALJEVCI;PLETERNIČKI MIHALJEVCI 29;9;3;3;3;0;0;0;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;032;KUĆA BRANKA DAMJANOVIĆ;TULNIK;TULNIK 29;17;15;15;15;0;4;7;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;033;KUĆA MARIJE ČIČKOVIĆ;MALI BILAČ;MALI BILAČ 15;15;12;12;12;0;1;3;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;034;KUĆA STANKA BARIŠIĆA, DVORANA;VESELA;VESELA 4A;117;58;58;54;4;4;20;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PLETERNICA;035;KUĆA PETRA ŽALCA;POLOJE;POLOJE 2C;80;40;40;39;1;2;13;24
