Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ŽELJKO GLAVIÆ;DIJANA KRPAN;MITAR OBRADOVIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;001;"ARSLANOVCI I, ŠPORTSKA DVORANA ""GRABRIK""";POŽEGA;ANTUNA KANIŽLIÆA 14A;533;222;222;210;12;109;29;72
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;002;ARSLANOVCI II, PRIVATNA KUÆA ROKIÆ GORANA;POŽEGA;ARSLANOVCI 11;755;297;297;290;7;155;45;90
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;003;ARSLANOVCI III, PRIVATNA KUÆA LADE CIGANOVIÆ;POŽEGA;VRANDUK 3;404;160;160;152;8;72;21;59
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;004;"ARSLANOVCI IV, TRGOVINA ""INLES""";POŽEGA;DUBROVAÈKA 115;601;254;254;246;8;144;35;67
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;005;CENTAR I, ZGRADA VELEUÈILIŠTA;POŽEGA;VUKOVARSKA 17;841;389;389;371;18;165;64;142
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;006;"CENTAR II, OŠ ""ANTUNA KANIŽLIÆA""";POŽEGA;ANTUNA KANIŽLIÆA 2;325;146;146;143;3;66;15;62
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;007;CENTAR III I GAREVICA, OŠ DOBRIŠE CESARIÆA;POŽEGA;SLAVONSKA 8;605;296;295;280;15;153;52;75
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;008;CENTAR IV  I GAREVICA, OŠ DOBRIŠE CESARIÆA;POŽEGA;SLAVONSKA 8;620;258;258;245;13;108;36;101
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;009;"CENTAR V, ""CROATIA"" D.D.";POŽEGA;REPUBLIKE HRVATSKE 1C;335;154;154;151;3;69;27;55
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;010;CENTAR VI, GRADSKA KUÆA (PROSTORIJA KOMUNALNIH REDARA);POŽEGA;TRG SV. TROJSTVA 1;1121;442;442;418;24;217;76;125
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;011;CIGLANE I, PRIVATNA KUÆA BORE ŠIPURE;POŽEGA;PAVLA RADIÆA 23;877;396;396;372;24;192;61;119
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;012;CIGLANE II, TENISKI KLUB POŽEGA;POŽEGA;PAVLA RADIÆA 2A;307;124;124;117;7;62;14;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;013;CIGLANE III, DJEÈJI VRTIÆ ŠARENI SVIJET;POŽEGA;FRANKOPANSKA 180;1116;441;441;412;29;206;61;145
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;014;CIGLANE IV, PRIVATNA KUÆA RUŽE RAJIÈ;POŽEGA;EUGENA KVATERNIKA 126;1075;432;432;416;16;246;79;91
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;015;ORLJAVA I, POSLOVNI PROSTOR AC BOŠKOVIÆ;POŽEGA;OSJEÈKA 62;240;98;98;93;5;48;8;37
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;016;ORLJAVA II, GRADSKA KUGLANA;POŽEGA;OSJEÈKA 7;412;176;176;164;12;73;34;57
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;017;"ORLJAVA III, DJEÈJI VRTIÆI ""CVJETNA LIVADA""";POŽEGA;KRALJA KREŠIMIRA 32A;1219;574;574;534;40;259;67;208
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;018;"ORLJAVA IV, ""HRVATSKE ŠUME""";POŽEGA;MILKE TRNINE 2;620;277;277;262;15;113;35;114
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;019;"ORLJAVA V, ""ZGRADA GRAÐANSKOG STRELJAÈKOG DRUŠTVA-STRELJANA""";POŽEGA;MILKE TRNINE 10;821;327;327;317;10;185;48;84
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;020;"TEKIJA I, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1247;582;582;547;35;266;94;187
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;021;"TEKIJA II, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1023;445;445;427;18;212;61;154
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;022;"TEKIJA III, AUTO-ŠKOLA ""HERZ""";POŽEGA;SVETOG ROKA 2;845;385;385;375;10;175;48;152
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;023;"VIDOVCI I, NK ""DINAMO""";VIDOVCI;STJEPANA RADIÆA BB;395;141;141;131;10;86;19;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;024;"VIDOVCI II, NK ""DINAMO""";VIDOVCI;VILIMA KORAJCA 2B;950;332;332;316;16;165;58;93
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;025;MJESNI DOM;DERVIŠAGA;S. RADIÆA BB;734;330;330;320;10;182;63;75
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;026;MJESNI DOM;SEOCI;SEOCI BB;76;38;38;38;0;33;4;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;027;PRIVATNA KUÆA ŽELJKA RAJÈEVIÆA;CRKVENI VRHOVCI;CRKVENI VRHOVCI 1;55;17;17;17;0;8;0;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;028;PRIVATNA KUÆA DAMIRA GRABUSINA;LAZE VASINE;LAZE VASINE 5 A;55;30;30;30;0;24;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;029;PRIVATNA KUÆA IVE BLAŽEVIÆA;KOMUŠINA;KOMUŠINA 22;74;33;33;32;1;24;2;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;030;PRIVATNA KUÆA JOZE BLAŽEVIÆA;ŠKRABUTNIK;ŠKRABUTNIK 14;20;8;8;7;1;5;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;031;DRUŠTVENI DOM;DRŠKOVCI;BRAÆE RADIÆA BB;315;154;154;147;7;73;18;56
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;032;MJESNI DOM;NOVO SELO;HRV. DRAGOVOLJACA BB;371;173;173;164;9;100;18;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;033;"NK ""LIPA""";STARA LIPA;STARA LIPA BB;170;79;79;78;1;39;13;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;034;ZGRADA ŠKOLE;NOVA LIPA;NOVA LIPA BB;70;42;42;42;0;29;6;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;035;PRIVATNA KUÆA MARKA PANDŽIÆA;DONJI EMOVCI;DONJI EMOVCI 3B;151;64;64;63;1;41;9;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;036;MJESNI DOM;GORNJI EMOVCI;GORNJI EMOVCI BB;114;54;54;52;2;27;7;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;037;MJESNI DOM;UGARCI;UGARCI BB;41;29;29;27;2;23;1;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;038;PRIVATNA KUÆA ZVONKA ŠPIRANECA;KUNOVCI;KUNOVCI 1C;76;35;35;32;3;21;6;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;039;OŠ VLADIMIRA NAZORA;MIHALJEVCI;KOLODVORSKA 1;662;297;297;283;14;135;48;100
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;040;MJESNI DOM;GOLOBRDCI;GOLOBRDCI BB;272;126;126;121;5;79;20;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;041;"ZGRADA ""KUTJEVO"" D.D. I MJESNOG DOMA";KRIVAJ;KRIVAJ BB;63;24;24;24;0;8;0;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;042;PRIVATNA KUÆA ŽELJKA BIÈANIÆA;MARINDVOR;MARINDVOR 33;103;54;54;53;1;37;9;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;043;MJESNI DOM;NOVI MIHALJEVCI;NOVI MIHALJEVCI BB;227;118;118;114;4;73;15;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;044;PRIVATNA KUÆA DALIBORA BREZICKI;NOVI ŠTITNJAK;NOVI ŠTITNJAK 22A;107;36;36;33;3;24;6;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;045;PRIVATNA KUÆA PERE SAMARDŽIJE;ŠEOVCI;ŠEOVCI 5;80;33;33;33;0;28;3;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;046;PRIVATNA KUÆA DARKA LONÈAREVIÆA;ŠTITNJAK;ŠTITNJAK 7;44;19;19;18;1;10;7;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;047;PRIVATNA KUÆA VLADE VRANIÆA;TURNIÆ;TURNIÆ 28;59;28;28;25;3;16;5;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;048;PRIVATNA KUÆA JADRANKE MAHMUTOVIÆ;ALAGINCI;ALAGINCI 26;163;74;74;69;5;40;8;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;049;PRIVATNA KUÆA ZORANA TKALCA;BANKOVCI;BANKOVCI 22;91;38;38;34;4;26;3;5
