Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NIKOLA IVANOVIĆ;TAMARA PUAČ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;001;ZGRADA KOMUNALNOG DRUŠTVA;KUTJEVO;REPUBLIKE HRVATSKE 74;3;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;002;GRADSKA VIJEĆNICA;KUTJEVO;TRG GRAŠEVINE 1;3;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;003;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAČIĆA 2A;7;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;004;OSNOVNA ŠKOLA ZDENKA TURKOVIĆA;KUTJEVO;REPUBLIKE HRVATSKE 26;9;4;4;4;0;0;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;005;PODRUČNA ŠKOLA;BEKTEŽ;BEKTEŽ 6;4;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;006;DRUŠTVENI DOM;BJELIŠEVAC;BJELIŠEVAC 29;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;007;PODRUČNA ŠKOLA;CIGLENIK;CIGLENIK 21;6;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;008;DRUŠTVENI DOM;FEROVAC;FEROVAC 6;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;009;PODRUČNA ŠKOLA;GRABARJE;KRALJA TOMISLAVA 44;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;010;PODRUČNA ŠKOLA;GRADIŠTE;GRADIŠTE 86;43;3;3;3;0;1;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;011;PRIVATNA KUĆA DEJANA PREVIŠIĆA;HRNJEVAC;HRNJEVAC 7A;0;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;012;DRUŠTVENI DOM;KULA;STJEPANA RADIĆA 2;43;6;6;6;0;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;013;DRUŠTVENI DOM;LUKAČ;LUKAČ 10A;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;014;PODRUČNA ŠKOLA MITROVAC;MITROVAC;MITROVAC 59;1;1;1;1;0;0;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;015;DRUŠTVENI DOM;OVČARE;OVČARE 2;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;016;PODRUČNA ŠKOLA;POREČ;POREČ 78;17;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;017;VATROGASNI DOM;ŠUMANOVCI;ŠUMANOVCI BB;1;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;018;PODRUČNA ŠKOLA;TOMINOVAC;TOMINOVAC 29;3;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;019;DRUŠTVENI DOM;VENJE;VENJE 16A;2;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;020;DRUŠTVENI DOM;VETOVO;ZAGREBAČKA 1;4;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;021;PODRUČNA ŠKOLA;VETOVO;MATIJE GUPCA 7A;7;0;0;0;0;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;001;OSNOVNA ŠKOLA LIPIK;LIPIK;ŠKOLSKA 25;52;1;1;1;0;1;0
