Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SELJAČKA STRANKA - HSS;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;001;ZGRADA KOMUNALNOG DRUŠTVA;KUTJEVO;REPUBLIKE HRVATSKE 74;581;271;271;264;7;80;114;12;24;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;002;GRADSKA VIJEĆNICA;KUTJEVO;TRG GRAŠEVINE 1;413;212;212;206;6;75;100;1;10;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;003;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAČIĆA 2A;456;212;212;197;15;69;96;4;19;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;004;OSNOVNA ŠKOLA ZDENKA TURKOVIĆA;KUTJEVO;REPUBLIKE HRVATSKE 26;626;304;304;290;14;92;135;5;14;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;005;PODRUČNA ŠKOLA;BEKTEŽ;BEKTEŽ 6;309;135;135;129;6;36;81;2;3;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;006;DRUŠTVENI DOM;BJELIŠEVAC;BJELIŠEVAC 29;77;53;53;50;3;8;27;3;4;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;007;PODRUČNA ŠKOLA;CIGLENIK;CIGLENIK 21;126;33;33;33;0;8;22;1;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;008;DRUŠTVENI DOM;FEROVAC;FEROVAC 6;71;42;42;42;0;4;29;1;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;009;PODRUČNA ŠKOLA;GRABARJE;KRALJA TOMISLAVA 44;362;204;204;201;3;52;134;3;6;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;010;PODRUČNA ŠKOLA;GRADIŠTE;GRADIŠTE 86;122;26;26;26;0;0;17;0;7;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;011;PRIVATNA KUĆA DEJANA PREVIŠIĆA;HRNJEVAC;HRNJEVAC 7A;137;85;85;78;7;14;45;3;10;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;012;DRUŠTVENI DOM;KULA;STJEPANA RADIĆA 2;282;106;106;101;5;13;57;1;9;21
