Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IGOR ČANČAR;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;001;"OSNOVNA ŠKOLA ""DRAGUTINA LERMANA""";BRESTOVAC;POŽEŠKA 45;673;327;327;314;13;84;142;11;77
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;002;VATROGASNI DOM;JAGUPLIJE;JAGUPLIJE BB;125;78;78;75;3;18;51;1;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;003;PRIVATNA KUĆA NEMEČEK;ZAVRŠJE;ZVONKA BRKIĆA 2;286;127;127;121;6;34;57;4;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;004;DRUŠTVENI DOM;NURKOVAC;NURKOVAC BB;227;114;114;112;2;31;57;11;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;005;DRUŠTVENI DOM;DOLAC;DOLAC BB;162;71;71;71;0;24;32;2;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;006;PODRUČNA ŠKOLA;SKENDEROVCI;SKENDEROVCI BB;152;60;60;57;3;7;40;2;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;007;DRUŠTVENI DOM;DARANOVCI;DARANOVCI BB;154;94;94;88;6;15;57;4;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;008;VATROGASNI DOM;ZAKORENJE;ZAKORENJE BB;147;90;90;88;2;5;67;13;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;009;DRUŠTVENI DOM;DONJI GUČANI;DONJI GUČANI BB;159;86;86;85;1;29;49;4;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;010;DRUŠTVENI DOM;BUSNOVI;BUSNOVI BB;89;44;44;44;0;6;20;9;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;011;VATROGASNI DOM;IVANDOL;IVANDOL BB;161;73;73;69;4;14;43;9;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;012;DRUŠTVENI DOM;VILIĆ SELO;VILIĆ SELO BB;125;72;72;72;0;14;38;1;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;013;DRUŠTVENI DOM;BORIČEVCI;BORIČEVCI BB;107;65;65;63;2;17;19;6;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;014;DRUŠTVENI DOM;PAVLOVCI;PAVLOVCI BB;158;86;86;83;3;18;39;5;21
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;015;DRUŠTVENI DOM;DEŽEVCI;DEŽEVCI BB;140;78;78;75;3;15;52;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;016;DRUŠTVENI DOM;PERENCI;PERENCI BB;88;32;32;31;1;3;7;1;20
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;017;VATROGASNI DOM;ORLJAVAC;ORLJAVAC BB;274;85;85;84;1;12;41;1;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;018;DRUŠTVENI DOM;PODSREĆE;PODSREĆE BB;36;17;17;16;1;0;3;0;13
