Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVICA KOVAČEVIĆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;001;PRIVATNA KUĆA ANTOLOVIĆ ZDENKO;EMINOVCI;VUKOVARSKA 66;234;48;48;38;10;38
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;002;PROSTORIJE NA STADIONU NK EMINOVCI;EMINOVCI;VUKOVARSKA 132C;305;87;87;66;21;66
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;003;"PROSTORIJE OŠ ""MLADOST"", PO TREŠTANOVCI";TREŠTANOVCI;TREŠTANOVCI 53;162;71;71;56;15;56
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;004;PRIVATNA KUĆA BIONDIĆ MARIJA;SVETINJA;SVETINJA 1;44;23;23;22;1;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;005;DRUŠTVENI DOM;BERTELOVCI;BERTELOVCI 47A;121;55;55;44;11;44
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;006;"PROSTORIJE OŠ ""MLADOST"", PO TEKIĆ";TEKIĆ;TEKIĆ 30;210;107;107;92;15;92
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;007;PRIVATNA KUĆA ŠOP ŽELJKO;JAKŠIĆ;KOLODVORSKA 213;208;83;83;62;21;62
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;008;"OSNOVNA ŠKOLA ""MLADOST""";JAKŠIĆ;KOLODVORSKA 2;834;352;352;279;73;279
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;009;NOVI VATROGASNI DOM;JAKŠIĆ;PAVLA RADIĆA 2B;489;167;167;140;27;140
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;010;DRUŠTVENI DOM;RADNOVAC;RADNOVAC 38;159;54;54;41;13;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;011;DRUŠTVENI DOM;RAJSAVAC;RAJSAVAC 44;277;139;139;109;30;109
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;012;"PROSTORIJE OŠ ""MLADOST"", PO CEROVAC";CEROVAC;CEROVAC 26;193;82;82;67;15;67
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;JAKŠIĆ;013;PRIVATNA KUĆA MAJETIĆ SLAVICA;GRANJE;GRANJE 6;64;16;16;13;3;13
