Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;001;OPATOVAC;DRUŠTVENI DOM OPATOVAC;OPATOVAC;262;110;110;103;7;4;81;9;9
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;002;PODVRŠKO;DRUŠTVENI DOM PODVRŠKO;PODVRŠKO;237;122;122;119;3;8;100;11;0
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;003;BANIĆEVAC;DRUŠTVENI DOM BANIĆEVAC;BANIĆEVAC;161;63;63;62;1;10;44;3;5
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;004;BAĆIN DOL;DRUŠTVENI DOM BAĆIN DOL;BAĆIN DOL;297;103;103;96;7;13;69;8;6
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;005;ŠUMETLICA;DRUŠTVENI DOM ŠUMETLICA;ŠUMETLICA;233;48;48;42;6;3;27;3;9
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;006;CERNIČKA ŠAGOVINA;DRUŠTVENI DOM CERNIČKA ŠAGOVINA;CERNIČKA ŠAGOVINA;249;71;71;66;5;9;40;4;13
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;007;GILETINCI;DRUŠTVENI DOM GILETINCI;GILETINCI;214;63;63;62;1;3;45;11;3
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;008;CERNIK;ZGRADA OPĆINE CERNIK;CERNIK;456;140;140;136;4;17;80;25;14
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;009;CERNIK;"OŠ ""MATIJA GUBEC""";CERNIK;522;171;171;165;6;39;93;24;9
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;010;CERNIK;ZGRADA OPĆINE CERNIK;CERNIK;405;103;103;99;4;7;63;14;15
