Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;001;TOMICA;DRUŠTVENI DOM U TOMICI;TOMICA;405;177;177;168;9;54;114
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;002;RASTUŠJE;DRUŠTVENI DOM U RASTUŠJU;RASTUŠJE;217;111;111;105;6;50;55
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;003;GRABARJE;DRUŠTVENI DOM U GRABARJU;GRABARJE;268;126;126;123;3;34;89
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;004;KINDROVO;DRUŠTVENI DOM U KINDROVU;KINDROVO;68;39;39;35;4;12;23
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;005;ORIOVÈIÆ;DRUŠTVENI DOM U ORIOVÈIÆU;ORIOVÈIÆ;74;38;38;37;1;16;21
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;006;PODCRKAVLJE;ZGRADA STARE PODRUÈNE ŠKOLE U  PODCRKAVLJU;PODCRKAVLJE, TRG 108. BRIGADE ZNG BR. 7;336;171;171;157;14;46;111
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;007;DUBOVIK;DRUŠTVENI DOM U DUBOVIKU;DUBOVIK;84;45;45;43;2;15;28
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;008;DONJI SLATINIK;DRUŠTVENI DOM U DONJEM SLATINIKU;DONJI SLATINIK;137;68;68;65;3;5;60
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;009;GLOGOVICA;DRUŠTVENI DOM U GLOGOVICI;GLOGOVICA;165;89;89;84;5;44;40
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;010;BRODSKI ZDENCI;DRUŠTVENI DOM U BRODSKIM ZDENCIMA;BRODSKI ZDENCI;224;96;96;89;7;29;60
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;PODCRKAVLJE;011;GORNJI SLATINIK;DRUŠTVENI DOM U GORNJEM SLATINIKU;GORNJI SLATINIK;74;48;48;46;2;11;35
