Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA KONZERVATIVNA STRANKA - HKS
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;001;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;805;347;347;329;18;43;12;274
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;002;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;829;404;404;391;13;113;3;275
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;003;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;759;348;348;331;17;71;10;250
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;004;GROMAČNIK;DRUŠTVENI DOM GROMAČNIK;GROMAČNIK, DR. FRANJE TUĐMANA 98;456;179;179;168;11;41;12;115
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;005;BARTOLOVCI;DRUŠTVENI DOM BARTOLOVCI;BARTOLOVCI, HRVATSKIH BRANITELJA 86/C;613;252;252;244;8;35;8;201
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;006;SLOBODNICA;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SLOBODNICA, TRG SVETOG MARKA 4;608;231;231;224;7;68;47;109
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;007;SLOBODNICA;VATROGASNI DOM U SLOBODNICI;SLOBODNICA, TRG SVETOG MARKA 11;750;303;303;292;11;114;34;144
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;008;JAKAČINA;DRUŠTVENI DOM JAKAČINA;JAKAČINA MALA 37;105;55;55;52;3;5;1;46
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;009;GRGUREVIĆI;OSNOVNA ŠKOLA GRGUREVIĆI;GRGUREVIĆI 29;146;75;75;74;1;12;1;61
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;010;RAVAN;OSNOVNA ŠKOLA RAVAN;RAVAN BR. 30;226;95;95;93;2;13;2;78
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;011;GORNJI ANDRIJEVCI;DRUŠTVENI DOM GORNJI ANDRIJEVCI;GORNJI ANDRIJEVCI 81;392;189;189;183;6;29;5;149
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;012;GRIŽIĆI;OSNOVNA ŠKOLA GRIŽIĆI;GRIŽIĆI BR. 9;94;38;38;37;1;7;0;30
