Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;001;VRBOVA;DRUŠTVENI DOM VRBOVA;VRBOVA;744;280;280;274;6;159;5;61;49
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;002;KOMARNICA;DRUŠTVENI DOM KOMARNICA;KOMARNICA;186;101;101;96;5;49;5;3;39
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;003;BLAŽEVIĆ DOL;DRUŠTVENI DOM BLAŽEVIĆ DOL;BLAŽEVIĆ DOL;124;50;50;50;0;35;5;4;6
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;004;GODINJAK;"OŠ ""IVAN GORAN KOVAČIĆ""";GODINJAK;546;304;304;301;3;109;22;9;161
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;005;TISOVAC;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAČIĆ"", PODRUČNI ODJEL TISOVAC";TISOVAC;287;170;170;168;2;99;11;8;50
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;006;LAZE;OSNOVNA ŠKOLA VLADIMIR NAZOR ADŽAMOVCI;LAZE;249;121;121;115;6;81;3;0;31
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;007;GORNJI CRNOGOVCI;"DRUŠTVENI DOM ""STRAŽA"" GORNJI CRNOGOVCI";GORNJI CRNOGOVCI;88;43;43;43;0;22;4;2;15
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;008;DONJI CRNOGOVCI;DRUŠTVENI DOM DONJI CRNOGOVCI;DONJI CRNOGOVCI;91;60;60;59;1;32;6;1;20
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;009;STARO PETROVO SELO;VATROGASNI DOM STARO PETROVO SELO;FRANKOPANSKA 4;762;344;344;334;10;190;50;19;75
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;010;STARO PETROVO SELO;DRUŠTVENI DOM STARO PETROVO SELO;MATIJE GUPCA 31;603;316;316;307;9;192;30;9;76
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;011;ŠTIVICA;VATROGASNI DOM ŠTIVICA;ŠTIVICA;403;210;210;198;12;138;12;8;40
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;012;OŠTRI VRH;DRUŠTVENI DOM OŠTRI VRH;OŠTRI VRH;131;82;82;79;3;54;3;5;17
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;STARO PETROVO SELO;013;VLADISOVO;PRIVATNA KUĆA MILANA VUKOVIĆA;VLADISOVO 4;6;4;4;4;0;4;0;0;0
