Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;MOST, MODERNA DEMOKRATSKA SNAGA - MODES;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;001;BRIŠEVO;DRUŠTVENI DOM U BRIŠEVU;BRIŠEVO;637;276;276;265;11;25;183;41;16
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;002;DRAČEVAC NINSKI;OSNOVNA ŠKOLA 'BARTOL KAŠIĆ' , PODRUČNA ŠKOLA U DRAČEVCU NINSKOM;DRAČEVAC NINSKI;273;116;116;114;2;6;90;10;8
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;003;GORNJI POLIČNIK;DRUŠTVENI DOM U GORNJEM POLIČNIKU;GORNJI POLIČNIK;128;70;70;66;4;0;52;13;1
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;004;LOVINAC;OSNOVNA ŠKOLA POLIČNIK, PODRUČNA ŠKOLA LOVINAC;LOVINAC;268;125;125;116;9;14;91;9;2
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;005;MURVICA;DRUŠTVENI DOM U MURVICI;MURVICA;763;316;316;282;34;24;215;25;18
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;006;MURVICA GORNJA;DRUŠTVENI DOM U MURVICI GORNJOJ;MURVICA GORNJA;225;100;100;98;2;3;78;17;0
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;007;POLIČNIK;OSNOVNA ŠKOLA POLIČNIK;POLIČNIK;974;445;445;426;19;21;351;31;23
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;008;RUPALJ;OSNOVNA ŠKOLA POLIČNIK, PODRUČNA ŠKOLA RUPALJ;RUPALJ;230;131;131;124;7;6;107;3;8
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;009;SUHOVARE;DRUŠTVENI DOM U SUHOVARAMA;SUHOVARE;525;228;228;216;12;15;139;41;21
13;ZADARSKA ŽUPANIJA;općina;POLIČNIK;010;VISOČANE;OSNOVNA ŠKOLA POLIČNIK, PODRUČNA ŠKOLA VISOČANE;VISOČANE;330;107;107;100;7;10;69;18;3
