Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐANI BUNJA;NENAD KLARIĆ;BOŽIDAR LONGIN;ZLATKO MARASOVIĆ;ANTONIO VUČETIĆ;IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1390;528;528;491;37;31;42;213;52;7;146
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1476;543;543;511;32;25;97;178;54;17;140
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAČKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;811;252;252;230;22;18;23;120;9;3;57
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIĆ ZV.  ""MAĆO""";ŠOPOT;336;154;154;143;11;6;7;85;11;3;31
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUČNA ŠKOLA;PODLUG;169;65;65;64;1;3;2;44;4;0;11
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIĆ BENKOVAČKI;PODRUČNA ŠKOLA;PERUŠIĆ BENKOVAČKI;262;133;133;124;9;14;18;63;5;2;22
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUČNA ŠKOLA;PRISTEG;489;149;149;141;8;11;12;71;8;2;37
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUČNE ŠKOLE;DOBRA VODA;78;34;34;28;6;2;4;16;0;2;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUČNA ŠKOLA;RADOŠINOVCI;195;107;107;102;5;4;16;60;5;0;17
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIĆ;PODRUČNA ŠKOLA;VUKŠIĆ;602;302;302;285;17;14;32;149;14;2;74
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;011;BULIĆ;PODRUČNA ŠKOLA;BULIĆ;130;75;75;72;3;4;7;36;2;3;20
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;012;LEPURI;ZGRADA ŽELJEZNIČKE POSTAJE;LEPURI;297;89;88;83;5;5;14;38;11;2;13
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;013;PODGRAĐE;DRUŠTVENI DOM;PODGRAĐE;88;51;51;46;5;0;5;33;0;0;8
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;014;LISIČIĆ;PODRUČNA ŠKOLA;LISIČIĆ;240;145;145;138;7;5;14;96;3;2;18
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;015;RODALJICE;PODRUČNA ŠKOLA;RODALJICE;187;36;36;32;4;3;2;17;4;2;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;016;BJELINA;"BIVŠA PRODAVAONICA ""PROMET""";BJELINA, BJELINA 150;206;36;36;36;0;3;3;24;1;1;4
13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;017;BRUŠKA;PODRUČNA ŠKOLA;BRUŠKA;118;51;51;48;3;2;2;33;2;1;8
