Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARKO BOGATIÆ;TOMISLAV ROB
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;001;BELI MANASTIR;UDRUGA PRIJATELJI SVETOG MARTINA;OSJEÈKA ULICA 49A;781;298;298;280;18;107;173
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;002;BELI MANASTIR;HVIDRA BARANJA;OSJEÈKA 118;710;249;249;232;17;68;164
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;003;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;621;253;253;243;10;106;137
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;004;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;673;278;278;255;23;93;162
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;005;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;631;253;253;238;15;74;164
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;006;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;589;237;237;230;7;72;158
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;007;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUÐMAN""";SV. MARTINA 16;644;227;227;212;15;76;136
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;008;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUÐMAN""";SV. MARTINA 16;821;278;278;249;29;88;161
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;009;BELI MANASTIR;DOM ZDRAVLJA BELI MANASTIR;ŠKOLSKA 5;752;295;295;278;17;118;160
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;010;BRANJIN VRH;OSNOVNA ŠKOLA U BRANJINOM VRHU;SVETOG KRIŽA BB;768;366;366;347;19;52;295
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;011;ŠEÆERANA;OSNOVNA ŠKOLA U ŠEÆERANI;ŽRTAVA DOMOVINSKOG RATA 27;444;192;192;187;5;59;128
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;012;ŠUMARINA;DOM KULTURE;I.G.KOVAÈIÆA 59;390;182;181;176;5;32;144
