Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO BREKALO;MARIJA ČAČIĆ;VJEKOSLAV ĆURIĆ;DRAŽEN TONKOVAC
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;001;ČOKADINCI;DRUŠTVENI DOM;OSJEČKA ULICA 76;122;64;64;62;2;0;2;26;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;002;ČEPINSKI MARTINCI;DRUŠTVENI DOM;STJEPANA RADIĆA BB;495;195;195;192;3;7;3;54;128
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;003;BEKETINCI;"OSNOVNA ŠKOLA ""MILKA CEPELIĆA""";ČEPINSKA 55;467;258;258;256;2;26;3;97;130
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;004;LIVANA;PROSTORIJE NK ''TOMISLAV'';CVJETNA BB;522;171;170;169;1;22;15;66;66
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;005;ČEPIN;LOVAČKI DOM;KRALJA ZVONIMIRA 214A;821;449;449;439;10;16;31;119;273
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;006;ČEPIN;"""UREDNOST"" D.O.O.";KRALJA ZVONIMIRA 176;426;200;200;200;0;3;26;31;140
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;007;ČEPIN;OPĆINA ČEPIN;KRALJA ZVONIMIRA 105;895;414;414;403;11;30;34;74;265
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;008;ČEPIN;STARA ZGRADA OPĆINE ČEPIN;KRALJA ZVONIMIRA 70;670;323;322;316;6;14;31;61;210
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;009;ČEPIN;VETERINARSKA STANICA - AMBULANTA;KRALJA TOMISLAVA 26;619;319;319;312;7;11;27;46;228
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;010;ČEPIN;"PROSTORIJE NK ""KLAS""";NERETVANSKA 10;714;364;364;351;13;21;19;58;253
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;011;ČEPIN;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KALNIČKA 17;854;469;468;460;8;30;22;113;295
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;012;ČEPIN;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KALNIČKA 17;813;378;378;364;14;51;12;62;239
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;013;ČEPIN;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";KALNIČKA 17;867;462;461;447;14;31;29;103;284
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ČEPIN;014;ČEPIN;"OSNOVNA ŠKOLA ""MIROSLAV KRLEŽA""";KRALJA ZVONIMIRA 100;1145;575;574;564;10;22;41;61;440
