Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORAN ALADIĆ;IGOR ČUPIĆ;IGOR GAVRANOVIĆ;MIHAEL JURANEK;IGOR KIŠ;DRAŽEN TRCOVIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;529;269;269;267;2;151;14;9;10;2;81
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;002;DONJI MIHOLJAC;SREDNJA ŠKOLA;VUKOVARSKA 84;603;248;248;243;5;108;23;29;10;15;58
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;003;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;634;235;235;232;3;124;25;11;11;0;61
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;004;DONJI MIHOLJAC;OBRTNIČKI DOM;KOLODVORSKA 41;743;298;298;294;4;111;29;26;13;13;102
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;005;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;763;327;327;324;3;130;24;21;21;18;110
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;006;DONJI MIHOLJAC;NARODNA KNJIŽNICA GRADA DONJEG MIHOLJCA;TRG ANTE STARČEVIĆA 22;475;204;204;199;5;85;8;24;14;9;59
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;007;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", VELIKA SALA";VUKOVARSKA 1;636;260;260;255;5;123;25;28;12;10;57
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;008;DONJI MIHOLJAC;"GRADSKA UPRAVA, DVORAC ""MAILATH"", MALA SALA";VUKOVARSKA 1;584;197;197;193;4;86;23;15;10;2;57
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;009;RAKITOVICA;DRUŠTVENI DOM;VENOSEVA 44B;686;290;290;284;6;131;6;17;10;0;120
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;010;MIHOLJAČKI POREČ;MJESNI ODBOR;EUGENA KRAJA 59;134;84;84;82;2;11;18;10;2;1;40
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;011;GOLINCI;DRUŠTVENI DOM;KRALJA TOMISLAVA BB;344;131;131;129;2;34;11;4;4;0;76
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;012;RADIKOVCI;MJESNI ODBOR;MATIJE GUPCA 83;237;110;110;106;4;54;1;14;2;0;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;013;SVETI ĐURAĐ;MJESNI ODBOR;ŠKOLSKA 104;618;231;231;229;2;91;9;9;19;1;100
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;014;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;509;174;174;173;1;65;13;8;17;2;68
