Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVOJE TOPALOVIĆ;LUKA VUKIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;001;ĐURĐENOVAC;PROSTORIJA ŠAH KLUBA;IVANA GUNDULIĆA 2;633;223;223;210;13;118;92
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;002;ĐURĐENOVAC;RADNIČKI DOM;KARDINALA ALOJZIJA STEPINCA 10;380;167;167;159;8;84;75
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;003;ĐURĐENOVAC;OSNOVNA ŠKOLA JOSIPA JURJA STROSSMAYERA;KARDINALA ALOJZIJA STEPINCA BB;331;165;165;162;3;84;78
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;004;ĐURĐENOVAC;DOM KULTURE (MONTAŽNA ŠKOLA);TRG DR. FRANJE TUĐMANA 3;625;296;296;289;7;174;115
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;005;ĐURĐENOVAC;SREDNJA ŠKOLA JOSIPA KOZARCA;TRG DR. FRANJE TUĐMANA 4;579;246;246;237;9;141;96
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;006;BELJEVINA;OSNOVNA ŠKOLA;LJUDEVITA GAJA 70;329;156;156;153;3;118;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;007;BELJEVINA;PROSTORIJA NK ZAGORAC;MATIJE GUPCA;205;114;114;111;3;70;41
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;008;NAŠIČKO NOVO SELO;DRUŠTVENI DOM;BRAĆE RADIĆA;258;112;112;105;7;72;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;009;BOKŠIĆ;DRUŠTVENI DOM;OSJEČKA 1;321;140;140;132;8;82;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;010;BOKŠIĆ LUG;OSNOVNA ŠKOLA;BRAĆE RADIĆA;192;107;107;107;0;80;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;011;ŠAPTINOVCI;OSNOVNA ŠKOLA;BANA JOSIPA JELAČIĆA;131;68;68;67;1;42;25
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;012;ŠAPTINOVCI;PROSTORIJE DVD-A;ŠAPTINOVCI;294;146;146;144;2;96;48
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;013;KLOKOČEVCI;OSNOVNA ŠKOLA;BRAĆE RADIĆA;383;145;145;140;5;105;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;014;SUŠINE;DRUŠTVENI DOM;GORANA POTNEŠILA 29;262;119;119;115;4;72;43
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;015;PRIBIŠEVCI;OSNOVNA ŠKOLA;MATIJE GUPCA;309;163;163;157;6;96;61
