Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI HSS - DHSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;001;ĐURĐENOVAC;PROSTORIJA ŠAH KLUBA;IVANA GUNDULIĆA 2;633;223;223;214;9;55;103;15;41
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;002;ĐURĐENOVAC;RADNIČKI DOM;KARDINALA ALOJZIJA STEPINCA 10;380;167;167;161;6;51;76;3;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;003;ĐURĐENOVAC;OSNOVNA ŠKOLA JOSIPA JURJA STROSSMAYERA;KARDINALA ALOJZIJA STEPINCA BB;331;165;165;163;2;54;86;3;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;004;ĐURĐENOVAC;DOM KULTURE (MONTAŽNA ŠKOLA);TRG DR. FRANJE TUĐMANA 3;625;296;296;285;11;74;159;15;37
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;005;ĐURĐENOVAC;SREDNJA ŠKOLA JOSIPA KOZARCA;TRG DR. FRANJE TUĐMANA 4;579;246;246;241;5;62;134;5;40
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;006;BELJEVINA;OSNOVNA ŠKOLA;LJUDEVITA GAJA 70;329;156;156;152;4;23;117;4;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;007;BELJEVINA;PROSTORIJA NK ZAGORAC;MATIJE GUPCA;205;114;114;109;5;27;72;7;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;008;NAŠIČKO NOVO SELO;DRUŠTVENI DOM;BRAĆE RADIĆA;258;112;112;108;4;24;71;6;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;009;BOKŠIĆ;DRUŠTVENI DOM;OSJEČKA 1;321;140;140;137;3;38;84;7;8
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;010;BOKŠIĆ LUG;OSNOVNA ŠKOLA;BRAĆE RADIĆA;192;107;107;102;5;27;68;3;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;011;ŠAPTINOVCI;OSNOVNA ŠKOLA;BANA JOSIPA JELAČIĆA;131;68;68;66;2;10;34;19;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;012;ŠAPTINOVCI;PROSTORIJE DVD-A;ŠAPTINOVCI;294;146;146;143;3;31;82;20;10
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;013;KLOKOČEVCI;OSNOVNA ŠKOLA;BRAĆE RADIĆA;383;142;142;138;4;13;83;37;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;014;SUŠINE;DRUŠTVENI DOM;GORANA POTNEŠILA 29;262;119;119;114;5;29;64;4;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;ĐURĐENOVAC;015;PRIBIŠEVCI;OSNOVNA ŠKOLA;MATIJE GUPCA;309;163;163;158;5;38;91;5;24
