Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARIJAN ZELENIÆ
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;001;KOŠKA;ŠUMARIJA KOŠKA;UL. NIKOLE ŠUBIÆA ZRINSKOG 65;718;344;344;340;4;56;149;135
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;002;KOŠKA;"OSNOVNA ŠKOLA ""IVANE BRLIÆ MAŽURANIÆ""";TRG DR. FRANJE TUÐMANA 5;595;303;303;302;1;32;140;130
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;003;BREZNICA NAŠIÈKA;PODRUÈNA ŠKOLA;OSJEÈKA BB;492;183;183;177;6;38;111;28
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;004;NIZA;PODRUÈNA ŠKOLA;KOLODVORSKA 52;353;150;150;146;4;27;79;40
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;005;NORMANCI;DRUŠTVENI DOM;ALOJZIJA STEPINCA BB;252;73;73;71;2;9;48;14
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;006;TOPOLINE;DRUŠTVENI DOM;KOLODVORSKA 20;117;87;87;86;1;3;54;29
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;007;LUG SUBOTIÈKI;DRUŠTVENI DOM;BRAÆE RADIÆA 41;254;101;101;98;3;13;73;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;008;LEDENIK;DRUŠTVENI DOM;KRALJA ZVONIMIRA 18;137;61;61;58;3;4;42;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;009;ANDRIJEVAC;DRUŠTVENI DOM;BRAÆE RADIÆA 2;93;41;41;41;0;5;32;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;opæina;KOŠKA;010;BRANIMIROVAC;DRUŠTVENI DOM;BANA JELAÈIÆA 3;68;15;15;15;0;5;8;2
