Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GORAN ĐANIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAČKA STRANKA - HSS
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;001;PODGORAČ;OSNOVNA ŠKOLA HINKA JUHNA;PODGORAČ;282;124;124;118;6;62;35;21
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;002;PODGORAČ;OPĆINA PODGORAČ;PODGORAČ;400;193;193;187;6;100;58;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;003;OSTROŠINCI;DRUŠTVENI DOM;OSTROŠINCI;93;57;57;56;1;38;14;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;004;RAZBOJIŠTE;VATROGASNI DOM;RAZBOJIŠTE;214;135;135;132;3;63;58;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;005;STIPANOVCI;VATROGASNI DOM;STIPANOVCI;330;181;181;178;3;99;73;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;006;KRŠINCI;STARA ŠKOLA;KRŠINCI;93;61;61;55;6;39;15;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;007;KELEŠINKA;VATROGASNI DOM;KELEŠINKA;43;25;25;24;1;13;9;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;008;BIJELA LOZA;DRUŠTVENI DOM;BIJELA LOZA;102;56;56;55;1;45;3;7
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;009;BUDIMCI;OSNOVNA ŠKOLA HINKA JUHNA;BUDIMCI;477;227;227;217;10;124;76;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;općina;PODGORAČ;010;POGANOVCI;OSNOVNA ŠKOLA HINKA JUHNA;POGANOVCI;167;80;80;77;3;56;18;3
