Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VOJISLAV BOJANIĆ;RADOMIR ČVARKOVIĆ;BOŠKO GVERO
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;001;BELI MANASTIR;UDRUGA PRIJATELJI SVETOG MARTINA;OSJEČKA ULICA 49A;216;45;45;41;4;6;34;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;002;BELI MANASTIR;HVIDRA BARANJA;OSJEČKA 118;169;12;12;11;1;2;8;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;003;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;179;37;37;35;2;6;28;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;004;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;198;62;62;59;3;4;50;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;005;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;133;30;30;30;0;5;24;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;006;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;165;21;21;20;1;2;15;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;007;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;160;32;32;32;0;3;28;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;008;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;190;26;26;25;1;0;24;1
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;009;BELI MANASTIR;DOM ZDRAVLJA BELI MANASTIR;ŠKOLSKA 5;227;54;54;51;3;7;39;5
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;010;BRANJIN VRH;OSNOVNA ŠKOLA U BRANJINOM VRHU;SVETOG KRIŽA BB;77;7;7;7;0;0;7;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;011;ŠEĆERANA;OSNOVNA ŠKOLA U ŠEĆERANI;ŽRTAVA DOMOVINSKOG RATA 27;63;15;15;14;1;1;11;2
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;012;ŠUMARINA;DOM KULTURE;I.G.KOVAČIĆA 59;57;5;5;4;1;1;3;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;001;BELIŠĆE;GLAZBENA ŠKOLA;VIJENAC DR. FRANJE TUĐMANA 3;28;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;002;BELIŠĆE;DOM UMIROVLJENIKA;VIJENAC JOSIPA JURJA STROSSMAYERA 67;23;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;003;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;18;0;0;0;0;0;0;0
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;004;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;23;0;0;0;0;0;0;0
