Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, STRANKA UMIROVLJENIKA - SU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, NEZAVISNA LISTA ANTE ĐAPIĆA - NL ANTE ĐAPIĆA, AKTIVNI NEZAVISNI UMIROVLJENICI - ANU, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA STRANKA PRAVA - HSP, DEMOKRATSKI HSS - DHSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;MOST, HRVATSKI SUVERENISTI;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;001;BELI MANASTIR;UDRUGA PRIJATELJI SVETOG MARTINA;OSJEČKA ULICA 49A;781;298;298;285;13;20;128;2;8;48;12;67
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;002;BELI MANASTIR;HVIDRA BARANJA;OSJEČKA 118;710;249;249;231;18;16;124;5;4;16;6;60
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;003;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;621;253;253;242;11;18;105;8;0;26;3;82
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;004;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;673;278;278;241;37;19;113;3;7;39;5;55
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;005;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;631;253;253;227;26;12;124;3;5;20;8;55
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;006;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;589;237;237;210;27;20;113;5;5;19;4;44
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;007;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;644;227;227;212;15;19;105;2;3;23;7;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;008;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUĐMAN""";SV. MARTINA 16;821;278;278;255;23;39;129;4;6;19;5;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;009;BELI MANASTIR;DOM ZDRAVLJA BELI MANASTIR;ŠKOLSKA 5;752;295;295;278;17;29;117;4;5;30;9;84
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;010;BRANJIN VRH;OSNOVNA ŠKOLA U BRANJINOM VRHU;SVETOG KRIŽA BB;768;366;366;352;14;36;266;1;12;5;5;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;011;ŠEĆERANA;OSNOVNA ŠKOLA U ŠEĆERANI;ŽRTAVA DOMOVINSKOG RATA 27;444;192;192;182;10;20;107;3;4;10;5;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;012;ŠUMARINA;DOM KULTURE;I.G.KOVAČIĆA 59;390;182;182;173;9;9;132;0;3;2;5;22
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;001;BELIŠĆE;GLAZBENA ŠKOLA;VIJENAC DR. FRANJE TUĐMANA 3;750;335;335;323;12;105;104;26;12;8;32;36
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;002;BELIŠĆE;DOM UMIROVLJENIKA;VIJENAC JOSIPA JURJA STROSSMAYERA 67;788;364;364;334;30;76;134;18;15;3;39;49
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;003;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;889;359;359;333;26;94;117;33;17;2;37;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;004;BELIŠĆE;OSNOVNA ŠKOLA IVANA KUKULJEVIĆA;ULICA KRALJA TOMISLAVA 196;941;405;403;385;18;85;127;54;19;1;47;52
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;005;BELIŠĆE;VATROGASNO SPREMIŠTE;ŽELJEZNIČKA 11;950;374;374;341;33;110;105;28;20;1;40;37
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;006;BELIŠĆE;"DJEČJI VRTIĆ ""MASLAČAK""";VIJENAC DR. FRANJE TUĐMANA 2;875;343;343;318;25;88;102;27;20;2;40;39
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;007;BISTRINCI;RIBIČKI DOM;BISTRINCI;624;256;256;223;33;70;66;33;8;4;29;13
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;008;BISTRINCI;"NOGOMETNI KLUB ""PODRAVAC""";FISKULTURNA 35;642;215;215;204;11;71;55;23;10;1;26;18
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;348;192;192;184;8;47;91;21;4;1;16;4
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;554;245;245;230;15;71;92;20;8;0;33;6
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;011;GORICA VALPOVAČKA;DRUŠTVENI DOM;STJEPANA RADIĆA 44;132;68;68;63;5;20;22;6;1;1;10;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;BELIŠĆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;141;68;68;67;1;17;27;6;6;1;6;4
