Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MARKO JELIĆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;120;53;53;49;4;17;0;4;22;1;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;599;305;305;302;3;113;6;7;110;36;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;674;279;279;273;6;110;5;7;117;13;21
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;692;342;342;330;12;131;15;9;127;20;28
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;670;319;319;308;11;145;7;4;108;26;18
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;839;401;401;390;11;151;6;10;178;16;29
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;780;372;372;365;7;147;7;4;160;21;26
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;950;407;407;388;19;135;7;3;162;13;68
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;1336;568;568;557;11;227;24;18;194;43;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;744;302;302;291;11;130;13;10;93;32;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;641;284;284;271;13;95;5;5;126;22;18
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;1491;638;637;620;17;242;33;17;235;54;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;603;266;266;256;10;125;5;14;93;9;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;724;296;295;288;7;85;7;29;91;12;64
