Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO DŽEPINA
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;22;2;2;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;98;24;24;21;3;21
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;124;13;13;12;1;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;116;10;10;8;2;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;91;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;106;7;7;5;2;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;105;11;11;9;2;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;258;58;58;54;4;54
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;258;29;29;26;3;26
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;88;2;2;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAČKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;88;8;8;6;2;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAČKO MJESTO 12;KUĆA VLATKE ČOVIĆ;SURONJINA 15, KNIN;149;22;22;22;0;22
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAČKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIĆA 2, VRPOLJE;55;3;3;2;1;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAČKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUČNA ŠKOLA GOLUBIĆ;GOLUBIĆ;226;64;64;52;12;52
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAČKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;165;51;51;39;12;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAČKO MJESTO 16;KUĆA ĐURE RADOŠA;CENTAR 34, STRMICA;175;78;78;65;13;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAČKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIĆ;311;150;150;122;28;122
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAČKO MJESTO 18;KUĆA ILIJE ORLOVIĆA;LJUBAČ;44;28;28;19;9;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAČKO MJESTO 19;KUĆA VLASNIŠTVA VELJKA TANJGE;OČESTOVO;83;36;36;36;0;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;020;BIRAČKO MJESTO 20;KUĆA RADOJKE MILIVOJEVIĆ;POLAČA;145;72;72;60;12;60
