Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, LOZA NEZAVISNA LISTA - LOZA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, NOVA LJEVICA - NL
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAČKO MJESTO 1;TURISTIČKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;725;325;325;316;9;14;128;3;25;19;57;70
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAČKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;487;219;219;214;5;13;57;13;24;14;43;50
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAČKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;625;281;281;277;4;19;87;4;18;14;65;70
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAČKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;987;430;430;419;11;22;150;10;39;18;96;84
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;578;257;257;252;5;10;95;5;17;20;57;48
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAČKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;616;221;220;216;4;11;63;1;16;16;48;61
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAČKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;844;387;387;372;15;23;145;10;12;24;79;79
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAČKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;705;267;267;260;7;14;87;6;12;20;56;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;009;BIRAČKO MJESTO 9;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;924;376;376;371;5;18;147;12;27;22;76;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;871;367;367;353;14;20;119;4;26;18;72;94
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;719;309;309;301;8;12;98;5;23;32;71;60
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;542;242;242;228;14;7;79;7;30;21;45;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;013;BIRAČKO MJESTO 13;OSNOVNA ŠKOLA JURJA DALMATINCA;STIPE NINIĆA 27, ŠIBENIK;718;327;327;320;7;15;147;5;24;19;54;56
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;014;BIRAČKO MJESTO 14;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;703;265;265;248;17;12;103;5;20;15;45;48
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;015;BIRAČKO MJESTO 15;EX UPRAVNA ZGRADA TEF-A - PROSTORIJE CENTRA ZA SOCIJALNU SKRB ŠIBENIK, ODJEL ZA DJECU BRAK I OBITELJ;PRILAZ TVORNICI 39, ŠIBENIK;947;411;411;402;9;33;218;0;52;14;64;21
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;016;BIRAČKO MJESTO 16;VODOVOD I ODVODNJA D.O.O. ŠIBENIK;KRALJA ZVONIMIRA 50,  ŠIBENIK;904;366;365;350;15;22;166;7;16;20;63;56
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;017;BIRAČKO MJESTO 17;PROSTORIJE DJEČJEG VRTIĆA ŽIŽULA;ULICA MILICE I TURKA 4,  ŠIBENIK;490;217;217;215;2;27;76;1;31;11;30;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;018;BIRAČKO MJESTO 18;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1015;398;396;388;8;34;175;13;30;19;72;45
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;019;BIRAČKO MJESTO 19;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;1240;520;520;504;16;39;256;24;52;11;65;57
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;020;BIRAČKO MJESTO 20;PROSTORIJE OSNOVNE ŠKOLE METERIZE;PUT KROZ METERIZE 48,  ŠIBENIK;959;421;419;410;9;34;161;3;52;20;57;83
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;021;BIRAČKO MJESTO 21;PROSTORIJE GRAD. ČETVRTI PLIŠAC;FRA STJEPANA ZLATOVIĆA,   ŠIBENIK;637;259;258;248;10;14;81;6;32;16;58;41
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;022;BIRAČKO MJESTO 22;OSNOVNA ŠKOLA VIDICI - PODRUČNA ŠKOLA RAŽINE;PUT EGERA BB, ŠIBENIK;1344;534;534;509;25;70;222;5;61;22;71;58
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;023;BIRAČKO MJESTO 23;PROSTORIJE GRADSKE ČETVRTI RAŽINE DONJE;LEPENIČKA 1, ŠIBENIK;699;262;262;248;14;31;110;3;23;5;46;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;024;BIRAČKO MJESTO 24;PROSTORIJE GRADSKE VIJEĆNICE;TRG REPUBLIKE HRVATSKE,  ŠIBENIK;670;264;264;256;8;12;85;12;32;8;64;43
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;025;BIRAČKO MJESTO 25;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1,  ŠIBENIK;491;211;211;208;3;13;62;10;21;12;49;41
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;026;BIRAČKO MJESTO 26;PROSTORIJE OSNOVNE ŠKOLE FAUSTA VRANČIĆA;TRG I.G. KOVAČIĆA 1, ŠIBENIK;461;200;199;194;5;20;68;3;33;6;39;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;027;BIRAČKO MJESTO 27;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;820;363;360;349;11;18;134;4;36;13;64;80
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;028;BIRAČKO MJESTO 28;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;782;331;330;327;3;22;112;6;31;23;70;63
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;029;BIRAČKO MJESTO 29;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;663;278;278;269;9;18;87;1;28;18;48;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;030;BIRAČKO MJESTO 30;PROSTORIJE O.Š. P. KREŠIMIRA IV;BANA J. JELAČIĆA 74,  ŠIBENIK;1138;504;504;493;11;32;201;4;36;18;126;76
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;031;BIRAČKO MJESTO 31;PROSTORIJE PROMETNO TEHNIČKE ŠKOLE (EX EKONOMSKA ŠKOLA);KRALJA ZVONIMIRA 2,  ŠIBENIK;699;282;282;273;9;13;110;11;20;8;42;69
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;032;BIRAČKO MJESTO 32;KREŠIMIROV DOM;TRG PALIH BRANITELJA DOMOVINSKOG RATA 1,  ŠIBENIK;769;312;312;301;11;19;128;8;30;15;50;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;033;BIRAČKO MJESTO 33;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;514;191;191;188;3;14;64;3;8;9;42;48
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;034;BIRAČKO MJESTO 34;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;551;209;209;204;5;10;72;7;19;9;38;49
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;035;BIRAČKO MJESTO 35;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;593;253;253;249;4;30;79;3;25;6;32;74
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;036;BIRAČKO MJESTO 36;OSNOVNA ŠKOLA VIDICI;8. DALMATINSKE UDARNE BRIGADE BB, ŠIBENIK;669;272;272;262;10;31;73;5;16;12;50;75
