Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANTONIJO BRAJKOVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAČKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIĆA 2, SKRADIN;760;255;255;179;76;179
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAČKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;618;247;247;231;16;231
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAČKO MJESTO 3;KUĆA JOSE SLADIĆA POK. GRGE U PLASTOVU;PLASTOVO;259;101;101;86;15;86
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAČKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;487;203;203;179;24;179
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAČKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIĆA - POSLOVNA ZONA KOSA BB;IĆEVO;116;60;60;60;0;60
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAČKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIĆI 52 A, BRATIŠKOVCI;272;69;69;61;8;61
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAČKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIĆA U VAĆANIMA;DONJI VAĆANI 15;195;58;58;47;11;47
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAČKO MJESTO 8;"PROSTORIJE BOĆARSKOG KLUBA ""SONKOVIĆ"" U SONKOVIĆU";SONKOVIĆ;598;208;208;160;48;160
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAČKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIĆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;274;67;67;51;16;51
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAČKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;244;66;66;62;4;62
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAČKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIĆU;KRKOVIĆ;311;99;99;79;20;79
