Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO BAJALICA;NIKOLA MILOVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;001;BIRAČKO MJESTO 1;"""KULTURNI CENTAR U SKRADINU""";ANTUNA BECIĆA 2, SKRADIN;113;17;17;17;0;3;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;002;BIRAČKO MJESTO 2;PROSTORIJE OSNOVNE ŠKOLE U DUBRAVICAMA;DUBRAVICE;54;15;15;15;0;3;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;003;BIRAČKO MJESTO 3;KUĆA JOSE SLADIĆA POK. GRGE U PLASTOVU;PLASTOVO;119;36;36;31;5;6;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;004;BIRAČKO MJESTO 4;PROSTORIJE OSNOVNE ŠKOLE U RUPAMA;RUPE;3;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;005;BIRAČKO MJESTO 5;POSLOVNI PROSTOR DALIBORA DUJIĆA - POSLOVNA ZONA KOSA BB;IĆEVO;22;1;1;1;0;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;006;BIRAČKO MJESTO 6;POLJOPRIVREDNA ZADRUGA BRANITELJA BRATIŠKOVCI-BRIBIR;DOBROTE VULINOVIĆI 52 A, BRATIŠKOVCI;214;61;61;58;3;13;45
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;007;BIRAČKO MJESTO 7;POSLOVNI PROSTOR ZDRAVKA MARETIĆA U VAĆANIMA;DONJI VAĆANI 15;74;21;21;21;0;11;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;008;BIRAČKO MJESTO 8;"PROSTORIJE BOĆARSKOG KLUBA ""SONKOVIĆ"" U SONKOVIĆU";SONKOVIĆ;262;130;130;124;6;42;82
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;009;BIRAČKO MJESTO 9;POSLOVNI PROSTOR JOŠKA CIGIĆA U BRIBIRU (BIVŠA OSNOVNA ŠKOLA);BRIBIRSKE MOSTINE BB;197;52;52;50;2;41;9
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;010;BIRAČKO MJESTO 10;PROSTORIJE OSNOVNE ŠKOLE U PIRAMATOVCIMA;PIRAMATOVCI;3;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;SKRADIN;011;BIRAČKO MJESTO 11;PROSTORIJE OSNOVNE ŠKOLE  U KRKOVIĆU;KRKOVIĆ;23;1;1;1;0;1;0
