Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MERI BANDL VALEŠ;ANTE CUKROV;SANJA RADIN-MAČUKAT;IVICA SLAVICA;MARKO UDOVIČIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;001;BIRAČKO MJESTO 1;ZGRADA KULTURNOG CENTRA U VODICAMA;IVE ČAĆE 8;1119;611;611;601;10;76;257;164;65;39
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;002;BIRAČKO MJESTO 2;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. I. - PRIZEMLJE)";MIĆIN STANKA BB;1238;578;578;560;18;57;252;155;61;35
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;003;BIRAČKO MJESTO 3;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. II. - PRIZEMLJE)";MIĆIN STANKA BB;1142;580;580;564;16;48;272;144;64;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;004;BIRAČKO MJESTO 4;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. III. - PRIZEMLJE)";MIĆIN STANKA BB;1227;470;469;454;15;45;190;124;63;32
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;005;BIRAČKO MJESTO 5;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. IV. - PRIZEMLJE)";MIĆIN STANKA BB;1257;461;461;449;12;28;232;69;86;34
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;006;BIRAČKO MJESTO 6;"ZGRADA OSNOVNE ŠKOLE ""VODICE"" (UČIONICA BR. V. - PRIZEMLJE)";MIĆIN STANKA BB;1327;493;492;482;10;52;180;104;102;44
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;007;BIRAČKO MJESTO 7;PROSTORIJE MJESNOG ODBORA SRIMA;SRIMA;993;387;387;381;6;22;124;147;52;36
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;008;BIRAČKO MJESTO 8;PROSTOR MJESNOG ODBORA PRVIĆ LUKA (EX DVA BUNARA);PRVIĆ LUKA;202;104;104;104;0;7;33;16;10;38
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;009;BIRAČKO MJESTO 9;PROSTOR MJESNOG ODBORA PRVIĆ ŠEPURINE;PRVIĆ ŠEPURINE;289;158;158;156;2;32;66;29;10;19
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA ČISTA VELIKA;ČISTA VELIKA;427;257;257;251;6;8;185;13;38;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;011;BIRAČKO MJESTO 11;EX AMBULANTA U ČISTOJ MALOJ;ČISTA MALA;179;65;65;65;0;1;50;2;0;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;012;BIRAČKO MJESTO 12;OSNOVNA ŠKOLA GAĆELEZI;GAĆELEZI;219;97;97;92;5;3;66;8;14;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;VODICE;013;BIRAČKO MJESTO 13;KUĆA VLASNIKA STIPANA BRUSANA;GRABOVCI 18;80;58;58;57;1;2;44;2;9;0
