Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;OGNJEN VUKMIROVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAČKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;45;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAČKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;14;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAČKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIĆA 4;34;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAČKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;19;1;1;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;3;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAČKO MJESTO 6;KUĆA IVICE STOJANOVIĆA (ŠKITE) U KARALIĆU;KOD TRGOVINE 3;4;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAČKO MJESTO 7;KUĆA DAVORA BAČIĆA U BRIŠTANIMA;BAČIĆI 7;1;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAČKO MJESTO 8;KUĆA ILIJE GALIĆA U BOGATIĆU;KOD ŠKOLE 1;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAČKO MJESTO 9;KUĆA DANICE LJUBIĆ U KLJUČU;KLJUČ 23;0;0;0;0;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAČKO MJESTO 10;OSNOVNA  ŠKOLA U KAOČINAMA;KOD ŠKOLE KULUŠIĆI 20;1;0;0;0;0;0
