Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO JELIĆ;IVICA LEDENKO;GORAN PAUK;JOŠKO ŠUPE
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAČKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;548;256;256;240;16;107;39;83;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAČKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;709;350;350;335;15;178;47;103;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAČKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIĆA 4;818;407;406;379;27;166;50;146;17
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAČKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;481;212;212;199;13;98;27;67;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;161;64;64;61;3;14;9;33;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAČKO MJESTO 6;KUĆA IVICE STOJANOVIĆA (ŠKITE) U KARALIĆU;KOD TRGOVINE 3;226;141;140;136;4;43;21;71;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAČKO MJESTO 7;KUĆA DAVORA BAČIĆA U BRIŠTANIMA;BAČIĆI 7;147;95;95;90;5;20;9;58;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAČKO MJESTO 8;KUĆA ILIJE GALIĆA U BOGATIĆU;KOD ŠKOLE 1;85;57;57;53;4;22;8;22;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAČKO MJESTO 9;KUĆA DANICE LJUBIĆ U KLJUČU;KLJUČ 23;128;72;72;70;2;10;3;55;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAČKO MJESTO 10;OSNOVNA  ŠKOLA U KAOČINAMA;KOD ŠKOLE KULUŠIĆI 20;201;114;114;106;8;42;10;52;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;197;95;95;93;2;28;39;25;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAČKO MJESTO 12;KUĆA IVICE TARLE U VELUŠIĆU;TARLE 5;78;46;46;44;2;19;8;15;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAČKO MJESTO 13;PROSTORIJA ŽELJEZNIČKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIČKA STANICA 6 A;221;92;92;84;8;23;15;45;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAČKO MJESTO 14;KUĆA ZVONIMIRA DŽALE U KRIČKAMA;KOD CRKVE KRALJICE MIRA 20;194;73;73;70;3;20;11;35;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAČKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIĆU;MILAKOVIĆI 1;159;107;107;103;4;14;11;76;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAČKO MJESTO 16;KUĆA MILE MUJANA U ŽITNIĆU;MUJANI 4B, ŽITNIĆ;139;68;68;65;3;25;19;19;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAČKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;177;131;131;122;9;24;7;91;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAČKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIĆI 29;185;93;93;90;3;21;14;53;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;019;BIRAČKO MJESTO 19;OSNOVNA ŠKOLA U RADONIĆU;KOD ŠKOLE 1;327;139;139;128;11;38;20;66;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;020;BIRAČKO MJESTO 20;OSNOVNA ŠKOLA U SIVERIĆU;OKO ŠKOLE 7;441;227;227;220;7;93;34;86;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAČKO MJESTO 21;KUĆA MIROSLAVA ĆOSIĆA U TEPLJUHU;PERIČIĆI 16;115;40;40;37;3;16;3;8;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAČKO MJESTO 22;KUĆA DRAGANA GUNDELJA U BIOČIĆU;GUNDELJI I DEVIĆI 11;94;33;33;32;1;19;1;2;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAČKO MJESTO 23;DOM KULTURE U MIOČIĆU;PUT PARČIĆA 1;94;17;17;16;1;8;0;5;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAČKO MJESTO 24;KUĆA DRAŽENA BAKOVIĆA  U PARČIĆU;BANOVCI 4 A;129;60;60;53;7;20;6;26;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAČKO MJESTO 25;KUĆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;159;101;101;96;5;25;16;53;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAČKO MJESTO 26;KUĆA BOŽICE VUDRAGOVIĆ U ŠTIKOVU;VUJEVIĆI 8;54;19;19;17;2;13;0;3;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;120;53;53;51;2;37;1;11;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;599;305;305;301;4;184;28;82;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;674;279;279;277;2;170;15;86;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;692;342;341;328;13;205;21;94;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;670;319;319;312;7;194;17;96;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;839;401;401;389;12;261;18;102;8
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;780;372;372;365;7;261;14;78;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;008;BIRAČKO MJESTO 8;PRIVATNA KUĆA ANDRIJE ŠKEGRO;DOMOVINSKOG RATA 33, KOVAČIĆ;950;409;409;387;22;284;7;86;10
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;009;BIRAČKO MJESTO 9;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48, KNIN;1336;568;568;549;19;335;37;162;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAČKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUĐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIĆA 2, KNIN;744;302;302;284;18;172;27;78;7
