Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARKO JELIÆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAÈKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;548;256;256;241;15;92;5;13;65;26;4;28;4;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAÈKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;709;350;350;332;18;118;5;9;118;42;7;28;1;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAÈKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIÆA 4;818;407;406;377;29;155;4;20;102;38;2;40;4;12
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAÈKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;481;212;212;200;12;82;0;7;52;35;4;16;1;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAÈKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;161;64;64;60;4;29;1;8;3;6;7;3;1;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAÈKO MJESTO 6;KUÆA IVICE STOJANOVIÆA (ŠKITE) U KARALIÆU;KOD TRGOVINE 3;226;141;141;137;4;79;3;9;18;22;2;3;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAÈKO MJESTO 7;KUÆA DAVORA BAÈIÆA U BRIŠTANIMA;BAÈIÆI 7;147;95;95;88;7;54;1;5;9;11;3;4;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAÈKO MJESTO 8;KUÆA ILIJE GALIÆA U BOGATIÆU;KOD ŠKOLE 1;85;57;57;51;6;28;0;2;12;7;0;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAÈKO MJESTO 9;KUÆA DANICE LJUBIÆ U KLJUÈU;KLJUÈ 23;128;72;72;72;0;60;0;0;6;4;1;1;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAÈKO MJESTO 10;OSNOVNA  ŠKOLA U KAOÈINAMA;KOD ŠKOLE KULUŠIÆI 20;201;114;114;105;9;58;1;1;18;18;5;2;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAÈKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;197;92;92;89;3;29;1;3;18;32;1;4;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAÈKO MJESTO 12;KUÆA IVICE TARLE U VELUŠIÆU;TARLE 5;78;46;46;42;4;21;0;0;10;6;1;3;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAÈKO MJESTO 13;PROSTORIJA ŽELJEZNIÈKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIÈKA STANICA 6 A;221;92;92;86;6;48;1;5;17;8;1;6;0;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAÈKO MJESTO 14;KUÆA ZVONIMIRA DŽALE U KRIÈKAMA;KOD CRKVE KRALJICE MIRA 20;194;73;73;72;1;34;0;10;11;8;3;4;0;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAÈKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIÆU;MILAKOVIÆI 1;159;107;107;102;5;84;2;4;1;9;0;1;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAÈKO MJESTO 16;KUÆA MILE MUJANA U ŽITNIÆU;MUJANI 4B, ŽITNIÆ;139;68;68;67;1;28;1;4;13;13;3;2;1;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAÈKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;177;131;131;124;7;100;0;10;7;1;0;5;0;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAÈKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIÆI 29;185;93;93;91;2;54;4;12;7;7;1;5;0;1
