Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;NENAD BUČKO;DAMIR MADUNA;NIKOLA MAŽAR;IVAN PENAVA;ŽELJKO SABO
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;001;SOTIN;DOM KULTURE;ULICA DR. FRANJE TUĐMANA BR. 2;621;333;333;327;6;16;12;91;175;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;002;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;657;355;354;344;10;6;7;90;229;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;003;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;855;480;480;472;8;11;15;164;256;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;004;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;862;501;501;485;16;24;13;133;290;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;005;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA BR. 2;676;364;364;357;7;13;5;99;224;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;006;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;675;380;380;368;12;24;18;101;163;62
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;007;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;600;303;303;287;16;38;22;62;121;44
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;008;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;705;370;370;361;9;37;18;77;184;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;009;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;579;239;239;228;11;35;10;69;85;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;010;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;765;397;396;378;18;26;13;106;181;52
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;011;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;733;346;346;336;10;27;10;92;159;48
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;012;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;789;380;380;359;21;27;14;104;150;64
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;013;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;843;370;370;359;11;28;22;79;167;63
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;014;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;771;327;326;307;19;36;16;50;113;92
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;015;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;761;364;364;354;10;33;28;91;131;71
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;016;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA""";204. VUKOVARSKE BRIGADE BR. 24 A;951;436;436;416;20;45;24;98;161;88
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;017;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;619;276;276;263;13;26;13;54;136;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;018;VUKOVAR;"VELEUČILIŠTE ""LAVOSLAVA RUŽIČKE""";ŽUPANIJSKA BR. 50;629;280;280;274;6;26;21;69;114;44
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;019;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIĆA"", PODRUČNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;659;287;285;269;16;66;19;54;79;51
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;020;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;1023;416;416;397;19;44;22;91;162;78
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;021;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;673;293;293;284;9;26;14;74;116;54
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;022;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;822;343;343;330;13;12;14;96;113;95
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;023;VUKOVAR;"TEHNIČKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;712;316;316;298;18;25;24;87;96;66
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;024;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;STJEPANA FILIPOVIĆA BR. 6;723;381;381;376;5;46;21;105;133;71
