Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIO GALOVIĆ;DAMIR JUZBAŠIĆ;DARKO LORGER;DAVOR MILIČEVIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;001;ŽUPANJA;"OŠ ""IVAN KOZARAC"" I";DR. FRANJE RAČKOG 30;923;474;474;470;4;75;199;24;172
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;002;ŽUPANJA;"OŠ ""IVAN KOZARAC"" II";DR.FRANJE RAČKOG 30;809;386;386;381;5;67;203;24;87
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;003;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA I;VELIKI KRAJ 42;917;426;426;420;6;59;192;22;147
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;004;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA II;VELIKI KRAJ 42;475;219;219;217;2;28;72;36;81
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;005;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA III;VELIKI KRAJ 42;640;295;295;289;6;30;162;13;84
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;006;ŽUPANJA;ŠUMARIJA I;DR.FRANJE RAČKOG 34;751;425;425;420;5;77;183;27;133
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;007;ŽUPANJA;ŠUMARIJA II;DR.FRANJE RAČKOG 34;777;423;423;420;3;78;187;22;133
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;008;ŽUPANJA;"KINO ""MLADOST"" I";STROSMAYEROVA 51;522;292;292;289;3;32;145;23;89
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;009;ŽUPANJA;"KINO ""MLADOST"" II";STROSSMAYEROVA 51;671;374;374;372;2;56;200;27;89
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;010;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A.STEPINCA 18;1078;522;522;518;4;84;242;37;155
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;011;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A.STEPINCA 18;804;364;364;356;8;62;139;25;130
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;012;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" III";A.STEPINCA 18;935;465;464;456;8;77;193;32;154
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;013;ŽUPANJA;"KINO ""KRISTAL""";ŠEĆERANA 62;663;338;337;335;2;39;129;25;142
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;014;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M.ĆATIĆA;553;243;243;238;5;17;90;9;122
