Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAGAN CRNOGORAC;SRĐAN JEREMIĆ;RADO LAZIĆ;TATJANA MIRIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;001;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOČKOG 13;130;7;7;7;0;3;4;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;002;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;45;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;003;ILOK;"UPRAVNA ZGRADA ""AGRO ILOKA""";TRG ŽRTAVA DOMOVINSKOG RATA 1/1;60;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;004;ILOK;SLOVAČKI DOM ILOK;I.G.KOVAČIĆA 85;29;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;005;BAPSKA;OSNOVNA ŠKOLA BAPSKA;STJEPANA RADIĆA 11;13;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;006;ŠARENGRAD;STARA ŠKOLA ŠARENGRAD;VUKOVARSKA BB;16;2;2;2;0;0;2;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;007;MOHOVO;STARA ŠKOLA MOHOVO;SV. NIKOLE TAVELIĆA 3;52;13;13;13;0;1;11;1;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;001;OTOK;UČILIŠTE OTOK;B.JELAČIĆA 22;2;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;002;OTOK;OPĆA POLJOPRIVREDNA ZADRUGA OTOK;B.JELAČIĆA 17;4;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;003;OTOK;DOM ZDRAVLJA OTOK, AMBULANTA OTOK;K.P.KREŠIMIRA IV BR. 1;1;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;004;OTOK;DNEVNI BORAVAK ZA STARIJE, OTOK;V.NAZORA 1;4;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;005;KOMLETINCI;ZGRADA MJESNOG ODBORA - KOMLETINCI;B.RADIĆA 19;0;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;006;KOMLETINCI;"OŠ ""V.NAZOR"" KOMLETINCI";B.RADIĆA 17;1;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;001;VINKOVCI;"MJESNI ODBOR ""LENIJE"" VINKOVCI";H.V.HRVATINIĆA 10;16;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;002;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;10;0;0;0;0;0;0;0;0
