Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVOR ĆAVAR;JOSIP DABRO;DAMIR DEKANIĆ;NIKOLA KAJKIĆ;TOMISLAV PANENIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;001;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOČKOG 13;1094;547;547;516;31;70;87;189;103;67
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;002;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;1025;607;607;576;31;47;105;230;130;64
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;003;ILOK;"UPRAVNA ZGRADA ""AGRO ILOKA""";TRG ŽRTAVA DOMOVINSKOG RATA 1/1;1087;482;482;444;38;53;74;169;80;68
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;004;ILOK;SLOVAČKI DOM ILOK;I.G.KOVAČIĆA 85;633;271;271;255;16;65;30;79;54;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;005;BAPSKA;OSNOVNA ŠKOLA BAPSKA;STJEPANA RADIĆA 11;743;383;383;375;8;11;47;164;114;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;006;ŠARENGRAD;STARA ŠKOLA ŠARENGRAD;VUKOVARSKA BB;445;257;257;246;11;16;69;87;46;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;007;MOHOVO;STARA ŠKOLA MOHOVO;SV. NIKOLE TAVELIĆA 3;185;114;114;107;7;9;15;66;9;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;001;OTOK;UČILIŠTE OTOK;B.JELAČIĆA 22;878;550;549;530;19;16;226;223;50;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;002;OTOK;OPĆA POLJOPRIVREDNA ZADRUGA OTOK;B.JELAČIĆA 17;903;549;548;533;15;7;213;237;61;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;003;OTOK;DOM ZDRAVLJA OTOK, AMBULANTA OTOK;K.P.KREŠIMIRA IV BR. 1;1060;580;580;551;29;23;203;261;44;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;004;OTOK;DNEVNI BORAVAK ZA STARIJE, OTOK;V.NAZORA 1;885;509;509;490;19;10;246;189;37;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;005;KOMLETINCI;ZGRADA MJESNOG ODBORA - KOMLETINCI;B.RADIĆA 19;694;429;429;413;16;8;147;196;46;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;OTOK;006;KOMLETINCI;"OŠ ""V.NAZOR"" KOMLETINCI";B.RADIĆA 17;592;373;373;360;13;7;120;181;36;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;001;VINKOVCI;"MJESNI ODBOR ""LENIJE"" VINKOVCI";H.V.HRVATINIĆA 10;1037;535;534;509;25;32;92;228;106;51
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;002;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;794;399;398;391;7;43;47;203;59;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;003;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;1103;661;661;642;19;48;131;310;116;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;004;VINKOVCI;"II.MJESNI ODBOR ""S.RADIĆ"" VINKOVCI";M. GUPCA 21A;1035;550;550;535;15;53;82;249;93;58
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;005;VINKOVCI;"DJEČJI VRTIĆ ""NAŠA RADOST""";P.MIŠKINE 69;662;317;317;306;11;30;57;131;67;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;006;VINKOVCI;"DJEČJI VRTIĆ ""EDEN""";ERVENIČKA 1;1029;429;429;415;14;31;66;198;89;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;007;VINKOVCI;CRVENI KRIŽ;TRG BANA J.ŠOKČEVIĆA 2;510;221;221;214;7;29;31;107;22;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;008;VINKOVCI;ZAVOD ZA ZAPOŠLJAVANJE VINKOVCI;J.DALMATINCA 27;688;380;380;370;10;37;48;184;65;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;009;VINKOVCI;"III MJESNI ODBOR ""CENTAR"" VINKOVCI";GLAGOLJAŠKA 13;1020;510;510;491;19;67;86;212;77;49
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;010;VINKOVCI;GRADSKA UPRAVA GRADA VINKOVACA;BANA J.JELAČIĆA 1;799;404;404;390;14;41;61;161;85;42
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;011;VINKOVCI;"IV.MJESNI ODBOR ""KOLODVOR""";KRALJA ZVONIMIRA 101;835;379;379;363;16;30;68;162;64;39
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;012;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;802;385;385;372;13;40;53;182;70;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;013;VINKOVCI;UPRAVA ZA CESTE VUKOVARSKO-SRIJEMSKE ŽUPANIJE,VINKOVCI;JOSIPA KOZARCA 10;950;410;410;398;12;36;62;165;106;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;014;VINKOVCI;"V. MJESNI ODBOR ""DVANAEST REDARSTVENIKA"" VINKOVCI";12 REDARSTVENIKA 1A;1035;442;442;430;12;28;83;176;99;44
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;015;VINKOVCI;"DJEČJI VRTIĆ ""PČELICA""";DVANAEST REDARSTVENIKA 20;736;305;305;297;8;32;36;137;66;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;016;VINKOVCI;DJEČJI VRTIĆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;660;277;277;273;4;36;37;112;76;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;017;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAČKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;811;383;383;373;10;29;64;163;89;28
