Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NIKŠA PERONJA;PAULO POTOÈNJAK
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;001;JELSA;OPÆINSKI DOM U JELSI;JELSA 404;855;590;590;577;13;363;214
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;002;JELSA;OPÆINSKI DOM U JELSI;JELSA, TRG TOME GAMULINA 1;795;509;509;486;23;328;158
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;003;SVIRÈE;"PROSTORIJE ""PZ SVIRÈE""";SVIRÈE;384;236;236;231;5;137;94
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;004;VRISNIK;ÈITAONICA;VRISNIK;174;103;103;101;2;69;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;005;PITVE;SELJAÈKI DOM U PITVAMA;PITVE;83;50;50;49;1;35;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;006;ZAVALA;ZADRUŽNI DOM U ZAVALI;ZAVALA;200;116;116;113;3;77;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;007;VRBOSKA;DOM KULTURE;VRBOSKA;594;368;367;360;7;142;218
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;008;POLJICA;"PROSTORIJE ""PZ POLJICA""";POLJICA;58;42;42;42;0;29;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;009;ZASTRAŽIŠÆE;"PROSTORIJE ""PZ ZASTRAŽIŠÆE""";ZASTRAŽIŠÆE;190;111;111;110;1;73;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;JELSA;010;GDINJ;PROSTORIJE TURISTIÈKOG UREDA;GDINJ;183;96;96;94;2;67;27
