Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DENIS IVANOVIĆ;DRAŠKO KULIŠ;NIKŠA TRANFIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;001;BIRAČKO MJESTO 1. KAŠTEL SUĆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIĆA 20;1160;366;366;345;21;185;58;102
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;002;BIRAČKO MJESTO 2. KAŠTEL SUĆURAC;MJESNI ODBOR;DR. A.ALFIREVIĆA 20;1064;393;393;361;32;189;61;111
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;003;BIRAČKO MJESTO 3. KAŠTEL SUĆURAC;"OŠ ""KNEZ MISLAV""";BRAĆE RADIĆ 6;2412;807;807;752;55;446;96;210
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;004;BIRAČKO MJESTO 4. KAŠTEL SUĆURAC;"UDRUGA ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1232;433;433;404;29;232;69;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;005;BIRAČKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. FRANJE TUĐMANA 434A;1442;583;582;565;17;380;61;124
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;006;BIRAČKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1400;539;539;516;23;389;50;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;007;BIRAČKO MJESTO 7.  KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1568;574;574;555;19;409;50;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;008;BIRAČKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1621;557;557;507;50;328;40;139
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;009;BIRAČKO MJESTO 9. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1630;559;559;517;42;316;70;131
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;010;BIRAČKO MJESTO 10. KAŠTEL KAMBELOVAC;"PROSTORIJE BRATSKE KUĆE - UDRUGA UMIROVLJENIKA ""LAŽANI""";BRCE 23;1476;470;470;447;23;274;50;123
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;011;BIRAČKO MJESTO 11. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV.LOVRE 2;1443;472;470;448;22;279;52;117
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;012;BIRAČKO MJESTO 12. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV. LOVRE 2;1306;454;453;420;33;233;85;102
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;013;BIRAČKO MJESTO 13. KAŠTEL LUKŠIĆ;DVORAC VITTURI;BRCE 5;2332;719;719;676;43;379;130;167
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;014;BIRAČKO MJESTO 14. KAŠTEL STARI;"OŠ. ""PROF. FILIP LUKAS""";SLAVONSKA 5;2568;839;839;795;44;436;108;251
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;015;BIRAČKO MJESTO 15. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 19;1672;551;549;514;35;270;41;203
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;016;BIRAČKO MJESTO 16. KAŠTEL STARI;"DJEČJI VRTIĆ ""VIŠNJICA""";RADUN, VELE NJIVE 1;2295;711;711;678;33;463;87;128
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;017;BIRAČKO MJESTO 17. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2234;669;669;630;39;322;86;222
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;018;BIRAČKO MJESTO 18. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2105;602;602;580;22;349;55;176
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;019;BIRAČKO MJESTO 19. KAŠTEL NOVI;MJESNI ODBOR RUDINE;PUT MIRA 14;1987;579;579;556;23;357;82;117
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;020;BIRAČKO MJESTO 20. KAŠTEL ŠTAFILIĆ;"POLJOPRIVREDNA ŠKOLA ""BRAĆE RADIĆ""";PUT POLJOPRIVREDNIKA 5;1497;441;441;417;24;249;111;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;021;BIRAČKO MJESTO 21. KAŠTEL ŠTAFILIĆ;POLJOPRIVREDNA ŠKOLA BRAĆE RADIĆ;PUT POLJOPRIVREDNIKA 5;1563;442;442;423;19;235;43;145
