Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA MLADIH - AM, NEZAVISNA LISTA MLADIH - NLM;KANDIDACIJSKA LISTA GRUPE BIRAČA -  JOSIP BERKET;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;001;BIRAČKO MJESTO 1. KAŠTEL SUĆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIĆA 20;1160;366;366;352;14;26;47;59;141;4;44;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;002;BIRAČKO MJESTO 2. KAŠTEL SUĆURAC;MJESNI ODBOR;DR. A.ALFIREVIĆA 20;1064;393;393;372;21;40;59;54;139;0;34;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;003;BIRAČKO MJESTO 3. KAŠTEL SUĆURAC;"OŠ ""KNEZ MISLAV""";BRAĆE RADIĆ 6;2412;807;806;771;35;88;93;100;325;8;96;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;004;BIRAČKO MJESTO 4. KAŠTEL SUĆURAC;"UDRUGA ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1232;433;433;418;15;45;56;55;173;5;31;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;005;BIRAČKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. FRANJE TUĐMANA 434A;1442;583;582;572;10;47;76;67;266;4;55;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;006;BIRAČKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1400;539;539;527;12;27;42;40;314;8;55;41
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;007;BIRAČKO MJESTO 7.  KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1568;571;571;565;6;45;79;73;288;4;41;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;008;BIRAČKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1621;557;557;541;16;42;140;40;228;10;49;32
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;009;BIRAČKO MJESTO 9. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1630;559;559;535;24;34;107;73;217;8;71;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;010;BIRAČKO MJESTO 10. KAŠTEL KAMBELOVAC;"PROSTORIJE BRATSKE KUĆE - UDRUGA UMIROVLJENIKA ""LAŽANI""";BRCE 23;1476;470;470;459;11;48;76;42;204;2;53;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;011;BIRAČKO MJESTO 11. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV.LOVRE 2;1443;472;472;465;7;33;40;63;223;11;57;38
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;012;BIRAČKO MJESTO 12. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV. LOVRE 2;1306;454;454;437;17;28;34;80;190;15;62;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;013;BIRAČKO MJESTO 13. KAŠTEL LUKŠIĆ;DVORAC VITTURI;BRCE 5;2332;719;719;698;21;41;89;132;299;4;84;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;014;BIRAČKO MJESTO 14. KAŠTEL STARI;"OŠ. ""PROF. FILIP LUKAS""";SLAVONSKA 5;2568;839;839;819;20;61;89;111;336;39;125;58
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;015;BIRAČKO MJESTO 15. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 19;1672;551;550;538;12;46;86;42;221;7;93;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;016;BIRAČKO MJESTO 16. KAŠTEL STARI;"DJEČJI VRTIĆ ""VIŠNJICA""";RADUN, VELE NJIVE 1;2295;711;711;688;23;45;55;83;384;27;73;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;017;BIRAČKO MJESTO 17. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2234;664;664;643;21;78;86;66;260;33;89;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;018;BIRAČKO MJESTO 18. KAŠTEL NOVI;GIMNAZIJA;POLINOVAC 8;2105;602;599;579;20;43;57;57;282;17;92;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;019;BIRAČKO MJESTO 19. KAŠTEL NOVI;MJESNI ODBOR RUDINE;PUT MIRA 14;1987;579;579;561;18;37;32;78;306;11;60;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;020;BIRAČKO MJESTO 20. KAŠTEL ŠTAFILIĆ;"POLJOPRIVREDNA ŠKOLA ""BRAĆE RADIĆ""";PUT POLJOPRIVREDNIKA 5;1497;441;441;424;17;39;39;60;200;14;51;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;021;BIRAČKO MJESTO 21. KAŠTEL ŠTAFILIĆ;POLJOPRIVREDNA ŠKOLA BRAĆE RADIĆ;PUT POLJOPRIVREDNIKA 5;1563;442;442;428;14;33;48;53;193;8;58;35
