Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;001;BIRAÈKO MJESTO 1. KLIS-VAROŠ;MJESNI ODBOR  KLIS-VAROŠ;KNEZA TRPIMIRA 229;353;210;210;184;26;155;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;002;BIRAÈKO MJESTO 2. KLIS-DONJA RUPOTINA;PROSTORIJE MJESNOG ODBORA DONJA RUPOTINA;KNEZA TRPIMIRA 90;1320;465;465;414;51;308;106
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;003;BIRAÈKO MJESTO 3. KLIS-BRDO;OŠ. PETAR KRUŽIÆ;VJEKOSLAVA PARAÆA 7;274;140;140;132;8;104;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;004;BIRAÈKO MJESTO 4. KLIS - MEGDAN;"DOM KULTURE ""JOZO BULIGA""";IZA GRADA 2;379;221;221;200;21;130;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;005;BIRAÈKO MJESTO 5. KLIS - KOSA;"DOM KULTURE ""ZDRAVKO UVODIÆ""";SV. JURE 48;371;166;166;150;16;97;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;006;BIRAÈKO MJESTO 6. KLIS - OZRNA;"PROSTORIJE LOVAÈKE UDRUGE ""SVEÈURJE""";STARE RERE 34;118;76;76;72;4;48;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;007;BIRAÈKO MJESTO 7. KONJSKO;MO KONJSKO;DOMOVINSKOG RATA 45;237;113;113;96;17;77;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;008;BIRAÈKO MJESTO 8. BROÈANAC;MO BROÈANAC;DOMOVINSKOG RATA 146;163;75;75;74;1;64;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;009;BIRAÈKO MJESTO 9. DUGOBABE;MO DUGOBABE;DOMOVINSKOG RATA 168;108;59;59;47;12;44;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;010;BIRAÈKO MJESTO 10. VUÈEVICA;MO VUÈEVICA;ZVONIMIROVA 5;46;20;20;20;0;19;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;011;BIRAÈKO MJESTO 11. KORUŠCE;PROSTORIJE MJESNOG ODBORA KORUŠCE;PUT ŠKOLE 13;75;27;27;26;1;23;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;012;BIRAÈKO MJESTO 12. BRŠTANOVO;MO BRŠTANOVO;HRVATSKIH VELIKANA 12;231;121;121;105;16;98;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;013;BIRAÈKO MJESTO 13. NISKO;MO NISKO;HRVATSKIH VELIKANA 88;176;86;86;84;2;82;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;KLIS;014;BIRAÈKO MJESTO 14. PRUGOVO;MO PRUGOVO;IVANA PAVLA II 100;476;169;169;150;19;137;13
