Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ANTE MAMUT;LJUBOMIR RADIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;001;BIRAÈKO MJESTO 1. MARINA;OSNOVNA ŠKOLA IVAN DUKNOVIÆ;DON FRANE MACANOVIÆA 1, MARINA;1080;546;545;523;22;392;131
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;002;BIRAÈKO MJESTO 2. SVINCA;MJESNI DOM;SVINCA BB;109;85;85;83;2;44;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;003;BIRAÈKO MJESTO 3. GORNJE VINIŠÆE;PROSTOR MJESNOG ODBORA DUBRAVE;DUBRAVE BB;147;76;76;73;3;40;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;004;BIRAÈKO MJESTO 4. DONJE VINIŠÆE;MJESNI DOM;VINIŠÆE;603;286;286;273;13;172;101
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;005;BIRAÈKO MJESTO 5. SEVID;ZGRADA MJESNOG ODBORA - NOVA;SEVID;305;137;137;132;5;84;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;006;BIRAÈKO MJESTO 6. VRSINE;PROSTOR PODRUÈNE OSNOVNE ŠKOLE IVAN DUKNOVIÆ MARINA;VRSINE, VRSINSKA CESTA 7;307;206;206;196;10;108;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;007;BIRAÈKO MJESTO 7. POLJICA;"""RESTORAN KAÈINA""";POLJICA, OBALA 145;662;360;360;334;26;184;150
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;008;BIRAÈKO MJESTO 8. NAJEVI;MJESNI DOM;NAJEVI BB;40;25;25;23;2;9;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;009;BIRAÈKO MJESTO 9. GUSTIRNA;OŠ IVAN DUKNOVIÆ PODRUÈNA ŠKOLA GUSTIRNA;GUSTIRNA, GUSTIRNA III 17;317;191;191;179;12;127;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;010;BIRAÈKO MJESTO 10. DOGRADE;MJESNI DOM;DOGRADE BB;172;97;97;91;6;63;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;011;BIRAÈKO MJESTO 11. POZORAC;DJEÈJI VRTIÆ KRIJESNICA;POZORAC, POZORAC 4;133;70;70;69;1;53;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;012;BIRAÈKO MJESTO 12. BLIZNA GORNJA;MJESNI DOM;BLIZNA GORNJA;77;53;53;52;1;46;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;013;BIRAÈKO MJESTO 13. BLIZNA DONJA;OŠ BLIZNA DONJA;BLIZNA DONJA;205;137;137;135;2;124;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;014;BIRAÈKO MJESTO 14. MITLO;MJESNI DOM;MITLO BB;57;40;40;40;0;33;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;015;BIRAÈKO MJESTO 15. VINOVAC;MJESNI DOM;VINOVAC BB;64;44;44;42;2;37;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;MARINA;016;BIRAÈKO MJESTO 16. RASTOVAC;MJESNI DOM;RASTOVAC, PODBOBOVAC 8;80;60;60;60;0;52;8
