Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;FILIP STUPALO
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;001;BIRAČKO MJESTO 1.NEORIĆ;OŠ NEORIĆ-SUTINA;NEORIĆ, NEORIĆ 43;726;341;341;290;51;290
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;002;BIRAČKO MJESTO 2. SUTINA;PROSTORIJE BRATSKE KUĆE SUTINA;SUTINA,CESTA NEORIĆ 1;268;122;122;91;31;91
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;003;BIRAČKO MJESTO 3. GIZDAVAC;PROSTORIJE DRUŠTVENOG DOMA;GIZDAVAC, SVETOG LUKE 12;91;34;34;25;9;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;004;BIRAČKO MJESTO 4. DONJI MUĆ;OŠ KNEZA BRANAIMIRA;DONJI MUĆ 218;463;255;255;144;111;144
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;005;BIRAČKO MJESTO 5. GORNJI MUĆ;PROSTORIJE OŠ KNEZ BRANIMIR;GORNJI MUĆ, BEBIĆI 2;396;158;158;110;48;110
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;006;BIRAČKO MJESTO 6. CRIVAC;OŠ BRAĆE RADIĆ PODRUČNA ŠKOLA CRIVAC;CRIVAC, GORNJE POLJE 9;289;142;142;77;65;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;007;BIRAČKO MJESTO 7. DONJE OGORJE;DRUŠTVENI DOM;DONJE OGORJE , RAĐE 3;404;183;183;135;48;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;008;BIRAČKO MJESTO 8. BRAČEVIĆI;DRUŠTVENI DOM;BRAČEVIĆ, KROZ BRAČEVIĆ 15;146;43;43;31;12;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;009;BIRAČKO MJESTO 9 GORNJE POSTINJE;DRUŠTVENI DOM;GORNJE POSTINJE, GORNJE POSTINJE 48;184;117;117;61;56;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;010;BIRAČKO MJESTO 10. RAMLJANE;DRUŠTVENI DOM;RAMLJANE, KROZ RAMLJANE 17;112;36;36;27;9;27
