Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP BANOVIĆ;DINO BELOŠEVIĆ;IVO TOMASOVIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;001;PRIKO I;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1675;830;830;806;24;265;50;491
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;002;PRIKO II;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1015;568;568;563;5;117;20;426
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;003;PUNTA - STARI GRAD;MJESNI ODBOR;FOŠAL BROJ 6 - OMIŠ;1125;579;579;568;11;114;18;436
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;004;MLIJA;SAMOSTAN SESTARA SLUŽAVKI MALOG ISUSA;VANGRAD 5;1473;772;772;760;12;177;32;551
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;005;BORAK;PROSTORIJE NIKŠE ČEČUKA;BORAK, PUT BORKA 67;151;97;97;95;2;9;4;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;006;BRZET;PROSTORIJE   HOTELSKOG NASELJA BRZET;OMIŠ;145;69;69;67;2;18;2;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;007;NEMIRA;"PROSTORIJE MJESNOG ODBORA NEMIRA ""IGRALIŠTE"" U NEMIRI";PUT NEMIRE;422;179;179;175;4;49;7;119
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;008;ČELINA-STANIĆI;MJESNI ODBOR;STANIĆI;763;280;280;277;3;88;11;178
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;009;LOKVA ROGOZNICA;PROSTORIJE MJESNOG ODBORA;LOKVA ROGOZNICA, IVAŠNJAK 3;506;195;195;191;4;55;9;127
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;010;MIMICE;PROSTORIJE TURIST BIROA;MIMICE;262;122;122;119;3;45;4;70
