Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORDANA BOŽIKOVIĆ;MIJO DROPULJIĆ;VELIMIR GAVRANIĆ;KRISTINA JERČIĆ;JOSIP VUKOVIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;001;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;980;385;385;370;15;39;154;23;115;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;002;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;891;337;337;328;9;21;144;22;114;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;003;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;836;227;227;223;4;31;65;17;73;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;004;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;659;279;279;276;3;30;125;13;71;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;005;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;711;260;260;252;8;29;93;13;79;38
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;006;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;746;293;293;288;5;25;126;19;96;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;007;PODSTRANA - GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE  TUĐMANA 3;859;376;376;367;9;126;144;17;54;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;008;PODSTRANA-GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;733;331;331;324;7;58;173;7;49;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;009;PODSTRANA-GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;786;280;280;275;5;36;138;9;72;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;010;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;713;281;281;276;5;54;108;21;54;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;011;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;706;259;258;249;9;47;97;28;59;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;012;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;695;268;268;264;4;53;122;21;41;27
