Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRO BULJ;IVAN JADRIJEVIĆ;IGOR VIDALINA;NIKOLA VUČKOVIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAČKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;926;480;480;469;11;244;90;102;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAČKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIĆ;BRNAŠKA 44;1676;850;850;834;16;325;147;297;65
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAČKO MJESTO 3. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;852;462;462;446;16;170;99;134;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAČKO MJESTO 4. U SINJU;"DJEČJI VRTIĆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1601;792;792;776;16;299;190;234;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAČKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIĆA""";VLADIMIRA NAZORA 33;1856;1027;1026;1011;15;512;183;201;115
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAČKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1208;629;629;618;11;280;141;149;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAČKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1533;765;765;758;7;356;143;212;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAČKO MJESTO 8. U BRNAZAMA;"DJEČJI VRTIĆ ""ALKARIĆ""";BRNAZE;965;548;548;544;4;209;90;216;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAČKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;947;947;931;16;255;131;522;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAČKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;963;486;486;476;10;229;70;170;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAČKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1732;902;901;891;10;304;347;192;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAČKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1471;816;816;798;18;331;275;176;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAČKO MJESTO 13. U HANU;OŠ U HANU;HAN;722;342;342;335;7;152;82;93;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAČKO MJESTO 14. U BAJAGIĆU;OŠ BAJAGIĆ;BAJAGIĆ;492;215;215;213;2;80;42;87;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAČKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;280;128;128;127;1;45;20;59;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;016;BIRAČKO MJESTO 16. U RADOŠIĆU;OŠ U RADOŠIĆU;RADOŠIĆ;563;340;340;335;5;134;119;77;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;017;BIRAČKO MJESTO 17. U SUHAČU;"PODUZEĆE ""CIGLANE"" U SLANICI";SLANICA;489;345;345;334;11;292;16;22;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;018;BIRAČKO MJESTO 18. U LUČANIMA;OŠ U LUČANIMA;LUČANI;538;330;329;324;5;192;78;49;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;019;BIRAČKO MJESTO 19. U KARAKAŠICI;OŠ U KARAKAŠICI;KARAKAŠICA;595;363;363;360;3;200;35;119;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;020;BIRAČKO MJESTO 20. U JASENSKOM;KUĆA MARIJE ŠUŠNJARE;JASENSKO 55 A;293;138;138;134;4;67;28;39;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;021;BIRAČKO MJESTO 21. U ČITLUKU;OŠ U ČITLUKU;ČITLUK;419;275;275;272;3;92;85;89;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;022;BIRAČKO MJESTO 22. U ZELOVU;"U PROSTORIJAMA BIVŠEG PODUZEĆA ""KONKURENT"" (BIVŠA PRODAVAONICA)";ZELOVO;144;68;68;67;1;37;10;18;2
