Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BOLJI SOLIN - BS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;MOST;NEZAVISNA LISTA MLADIH - NLM;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;001;CENTAR I;PROSTORIJE ZGRADE GRADSKE UPRAVE GRADA SOLINA;STJEPANA RADIĆA 42, SOLIN;947;400;399;389;10;27;20;146;9;8;127;28;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;002;CENTAR II;PROSTORIJE CRVENOG KRIŽA GRADA SOLINA;KRALJA ZVONIMIRA  117 D;580;256;256;247;9;21;22;96;11;8;53;26;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;003;CENTAR III;OŠ DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;556;208;208;202;6;12;10;89;2;8;58;19;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;004;CENTAR IV;OSNOVNA ŠKOLA DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;432;186;186;182;4;18;10;54;5;12;53;27;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;005;CENTAR V;PROSTORIJE O.Š. DON LOVRE KATIĆA;PUT MAJDANA 3;457;210;210;208;2;19;15;70;10;11;66;11;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;006;KUČINE;PROSTORIJE DRUŠTVENOG DOMA KUČINE;DRAGE MARKOVIĆA 35, SOLIN;900;455;455;440;15;40;23;134;2;46;159;25;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;007;MRAVINCE I;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";GAJEVA ULICA 45, MRAVINCE;984;469;469;448;21;34;42;194;2;40;105;23;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;008;MRAVINCE II;"OSNOVNA ŠKOLA ""KRALJICE JELENE """;GAJEVA ULICA 45, MRAVINCE;467;230;230;224;6;16;20;90;1;17;59;18;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;009;PRIKO VODA I;"PROSTORIJA OSNOVE ŠKOLU""KRALJICE JELENE";SOLIN, PUT MIRA 3;896;380;379;367;12;50;17;156;3;27;90;11;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;010;PRIKO VODE II;O.Š. KRALJICE JELENE;PUT MIRA 3, SOLIN;1106;414;414;405;9;80;44;137;4;20;91;14;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;011;PRIKO VODE III;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA  3 SOLIN;1157;451;451;442;9;70;32;146;2;29;122;22;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;012;PRIKO VODE IV;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;931;363;361;354;7;42;28;123;6;32;101;9;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;013;PRIKO VODE V;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;909;375;374;367;7;38;38;141;3;15;97;16;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;014;PRIKO VODE VI;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;1005;351;351;346;5;42;29;133;10;24;80;22;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;015;VRANJIC;KULTURNI CENTAR DON F. BULIĆA;OBALA POMORACA 77, VRANJIC;950;530;530;514;16;44;62;209;14;28;106;31;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;016;RUPOTINA I;OŠ DON LOVRE KATIĆA - PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;488;164;164;158;6;5;20;56;2;8;51;7;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;017;RUPOTINA II;OŠ DON LOVRE KATIĆA PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;784;365;365;358;7;10;53;129;4;13;122;18;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;018;RUPOTINA III;DJEČJI VRTIĆ VJEVERICA;ANTE STARČEVIĆA 125;828;392;391;382;9;18;73;142;4;10;103;22;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;019;SREDNJA STRANA I;PROSTORIJE MO SREDNJA STRANA;BRAĆE RADIĆA 65;884;462;461;445;16;29;26;201;5;12;132;4;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;020;SREDNJA STRANA II;DJEČJI VRTIĆ CVRČAK (TRATINČICA);DON LOVRE KATIĆA 50;1156;475;475;466;9;58;23;153;9;13;168;12;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;021;SREDNJA STRANA III;"PROSTORIJE DJEČJEG VRTIĆA ""CVRČAK"" (TRATINČICA)";DON LOVRE KATIĆA 50;1060;494;494;479;15;23;45;208;8;14;143;24;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;022;SREDNJA STRANA IV;DJEČJI VRTIĆ CVRČAK (TRATINČICA);DON LOVRE KATIĆA 50;919;472;472;460;12;31;42;206;24;19;108;14;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;023;SV. KAJO I;OŠ VJEKOSLAV PARAĆ;DUDINI 17;416;177;177;173;4;23;7;75;3;8;39;4;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;024;SV. KAJO II;OŠ VJEKOSLAV PARAĆ;DUDINI 17;865;361;361;354;7;45;15;128;7;8;117;21;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;025;SVETI KAJO III;"O.Š. ""VJEKOSLAV PARAĆ""";DUDINI 17;984;367;367;360;7;44;24;120;3;16;113;19;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;026;SV.KAJO IV;"O.Š. "" VJEKOSLAV PARAĆ""";DUDINI 17;838;311;311;303;8;20;17;120;4;11;112;9;10
