Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZDESLAV BENZON;ANTE FRANIÆ;IVICA GRKOVIÆ;NANSI IVANIŠEVIÆ;ŽELJKO KERUM;VICE MIHANOVIÆ;MARIJO POPOVIÆ;JAKOV PRKIÆ;IVICA PULJAK;BRANKA RAMLJAK;SINIŠA VUCO
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;001;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;806;304;304;300;4;5;17;11;13;44;58;0;28;92;28;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;002;SPLIT;O.Š.POJIŠAN;VIŠKA 12;875;420;420;409;11;13;37;23;13;55;76;1;29;140;21;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;003;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;915;462;462;455;7;18;40;22;25;67;68;2;36;145;30;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;004;SPLIT;GRADSKI KOTAR BAÈVICE;VIŠKA 7;913;451;451;442;9;16;35;23;30;33;64;0;42;157;42;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;005;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;1051;493;490;467;23;12;37;24;26;56;101;5;27;132;46;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;006;SPLIT;"O.Š.""POJIŠAN""";VIŠKA 12;1421;642;642;634;8;15;42;59;25;75;119;4;40;199;54;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;007;SPLIT;GRADSKI KOTAR  BLATINE-ŠKRAPE;POLJIÈKA CESTA 31;949;430;430;424;6;9;61;17;5;44;58;6;36;144;37;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;008;SPLIT;GRADSKI KOTAR BLATINE ŠKRAPE;POLJIÈKA CESTA 31;971;428;428;422;6;11;50;25;13;57;113;3;23;105;20;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;009;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;775;371;371;368;3;11;58;8;13;21;73;7;29;127;20;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;010;SPLIT;O.Š.BLATINE ŠKRAPE;NA KRIŽICE 2;1155;524;524;517;7;13;37;25;19;76;142;3;23;129;47;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;011;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;747;336;334;325;9;5;54;11;9;26;43;1;16;128;30;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;012;SPLIT;O.Š. MANUŠ;VUKOVARSKA 11;619;278;278;273;5;10;31;10;12;21;41;3;26;95;23;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;013;SPLIT;DJEÈJI VRTIÆ DUGA;MAŽURANIÈEVO ŠET.12 A;544;292;292;282;10;8;18;17;12;20;50;1;20;105;27;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;014;SPLIT;"O.Š. ""BOL""";HRVATSKIH ISELJENIKA 10;576;246;246;243;3;6;17;8;8;23;28;1;31;106;13;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;015;SPLIT;DJEÈJI VRTIÆ LAVANDA;VUKOVARSKA 45;701;337;337;330;7;12;29;15;15;37;60;0;29;117;16;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;016;SPLIT;O.Š. BOL;HRV.ISELJENIKA 10;474;192;192;190;2;5;22;5;8;23;36;2;15;62;12;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;017;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;1251;528;528;520;8;11;32;18;22;77;118;0;27;171;42;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;018;SPLIT;DJEÈJI VRTIÆ FRULICA;ULICA SLOBODE 32;646;312;312;307;5;18;29;12;6;53;40;5;15;108;16;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;019;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;712;347;347;330;17;14;2;16;13;54;71;4;30;107;18;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;020;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;564;265;265;264;1;10;13;11;12;43;33;2;22;90;26;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;021;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;676;305;305;297;8;8;18;15;6;70;42;0;19;77;39;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;022;SPLIT;DJEÈJI VRTIÆ POTOÈNICA II;TRŠÈANSKA 35;639;307;307;298;9;13;38;8;9;38;48;1;28;91;21;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;023;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;657;265;265;261;4;11;12;10;14;35;35;3;23;87;30;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;024;SPLIT;O.Š. DOBRI;KLIŠKA 25;794;380;380;371;9;4;42;14;13;25;93;3;35;107;34;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;025;SPLIT;O.Š. DOBRI;KLIŠKA 25;624;318;318;313;5;7;21;9;23;64;79;3;11;78;16;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;026;SPLIT;O.Š. DOBRI;KLIŠKA 25;649;260;260;257;3;8;23;4;5;28;55;2;21;91;20;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;027;SPLIT;O.Š. DOBRI;KLIŠKA 25;512;246;246;243;3;7;40;7;13;30;35;4;18;65;22;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;028;SPLIT;PARKOVI I NASADI;KAVANJINOVA 12;468;208;208;206;2;4;24;5;6;22;29;2;16;80;17;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;029;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;388;154;154;153;1;7;13;5;7;17;37;1;18;39;8;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;030;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;301;119;119;119;0;1;8;2;8;12;27;1;9;38;13;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;031;SPLIT;O.Š. DOBRI;KLIŠKA 25;771;348;348;343;5;14;23;14;17;44;59;1;34;113;22;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;032;SPLIT;DJEÈJI VRTIÆ PALÈIÆ;OSJEÈKA 3;548;250;250;250;0;5;23;11;11;45;40;7;18;66;22;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;033;SPLIT;DJEÈJI VRTIÆ BOSILJAK;OSJEÈKA 24;719;348;348;338;10;10;46;19;8;39;60;4;21;94;35;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;034;SPLIT;GRADSKI KOTAR GRIPE;MATICE HRVATSKE 16;772;352;352;350;2;8;31;11;11;33;73;8;32;115;28;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;035;SPLIT;DJEÈJI VRTIÆ MIKI;OSJEÈKA 12;858;423;423;414;9;20;44;16;19;43;65;8;19;126;52;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;036;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;790;331;331;324;7;7;38;14;15;30;65;4;32;85;33;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;037;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;858;407;407;396;11;2;47;13;18;52;71;1;59;103;27;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;038;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;879;346;346;338;8;8;16;17;15;72;81;4;22;74;26;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;039;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1016;402;402;392;10;9;29;31;19;75;94;6;24;75;25;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;040;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;816;318;318;314;4;2;32;18;17;46;60;2;24;82;31;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;041;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;841;346;346;343;3;10;29;13;19;59;56;8;18;99;28;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;042;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;798;313;313;302;11;5;18;31;15;54;80;2;9;67;19;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;043;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1198;438;438;429;9;9;24;27;23;88;119;2;15;90;32;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;044;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1133;430;430;421;9;6;28;24;15;94;96;6;10;102;36;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;045;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1005;367;367;358;9;8;47;7;11;60;78;11;18;100;14;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;046;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1398;640;639;629;10;13;69;22;26;60;131;2;41;215;46;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;047;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1561;667;666;657;9;20;53;19;25;102;122;7;86;177;44;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;048;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1669;734;733;723;10;21;62;28;18;74;139;7;63;251;54;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;049;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;1548;665;665;648;17;11;43;31;28;101;142;5;37;215;32;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;050;SPLIT;O.Š. SKALICE;PUT SKALICA 18;999;461;461;450;11;17;63;14;13;60;58;7;44;142;31;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;051;SPLIT;O.Š. SKALICE;PUT SKALICA 18;914;429;429;416;13;7;47;14;10;51;111;3;33;121;18;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;052;SPLIT;DJEÈJI VRTIÆ VESELI DANI;STARÈEVIÆEVA 32;744;328;328;325;3;11;33;12;16;34;51;4;33;110;19;2
