Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - TOMISLAV MAMIÆ;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, PAMETNO ZA SPLIT I DALMACIJU;RADNIÈKA FRONTA - RF, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;001;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;806;304;304;296;8;62;13;58;0;2;2;6;1;20;18;44;3;30;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;002;SPLIT;O.Š.POJIŠAN;VIŠKA 12;875;420;420;413;7;91;14;81;1;3;2;12;2;26;31;58;3;50;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;003;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;915;462;462;455;7;105;19;65;1;2;0;21;5;33;32;60;1;51;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;004;SPLIT;GRADSKI KOTAR BAÈVICE;VIŠKA 7;913;451;451;442;9;127;18;64;1;4;1;13;6;39;28;74;3;39;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;005;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;1051;493;492;460;32;91;23;93;2;4;5;16;7;40;42;45;3;49;40
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;006;SPLIT;"O.Š.""POJIŠAN""";VIŠKA 12;1421;642;636;626;10;140;22;119;1;1;1;15;7;61;73;60;1;61;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;007;SPLIT;GRADSKI KOTAR  BLATINE-ŠKRAPE;POLJIÈKA CESTA 31;949;430;429;423;6;94;9;58;4;4;2;12;5;26;39;57;14;66;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;008;SPLIT;GRADSKI KOTAR BLATINE ŠKRAPE;POLJIÈKA CESTA 31;971;427;427;419;8;70;15;120;0;1;4;10;3;10;47;40;4;55;40
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;009;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;775;371;371;366;5;89;19;74;3;0;2;11;9;8;14;45;2;78;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;010;SPLIT;O.Š.BLATINE ŠKRAPE;NA KRIŽICE 2;1155;524;524;514;10;96;29;146;1;2;5;14;4;29;39;48;3;47;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;011;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;747;336;334;325;9;96;8;35;0;4;1;4;5;27;23;30;5;68;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;012;SPLIT;O.Š. MANUŠ;VUKOVARSKA 11;619;278;278;268;10;63;15;32;1;1;1;12;4;26;17;40;5;36;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;013;SPLIT;DJEÈJI VRTIÆ DUGA;MAŽURANIÈEVO ŠET.12 A;544;292;292;287;5;66;16;40;3;3;2;8;0;26;28;44;3;35;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;014;SPLIT;"O.Š. ""BOL""";HRVATSKIH ISELJENIKA 10;576;246;246;245;1;81;7;28;0;0;2;6;2;13;15;42;4;24;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;015;SPLIT;DJEÈJI VRTIÆ LAVANDA;VUKOVARSKA 45;701;337;337;328;9;75;16;63;3;6;1;13;1;16;20;48;2;38;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;016;SPLIT;O.Š. BOL;HRV.ISELJENIKA 10;474;192;192;191;1;36;11;36;1;2;2;4;4;10;17;19;2;29;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;017;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;1251;528;528;520;8;122;28;111;3;8;5;12;9;29;29;53;5;40;66
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;018;SPLIT;DJEÈJI VRTIÆ FRULICA;ULICA SLOBODE 32;646;312;312;305;7;59;5;44;3;2;1;22;6;21;14;37;6;49;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;019;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;712;347;347;341;6;71;15;63;5;6;2;8;8;19;24;45;3;26;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;020;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;564;265;265;263;2;61;19;33;1;4;2;7;4;19;17;34;3;30;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;021;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;676;305;305;298;7;52;6;41;1;1;4;13;2;31;25;29;2;29;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;022;SPLIT;DJEÈJI VRTIÆ POTOÈNICA II;TRŠÈANSKA 35;639;307;307;298;9;65;8;42;1;0;1;15;3;18;21;33;1;57;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;023;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;657;265;265;259;6;66;13;39;0;4;2;6;7;21;21;36;2;17;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;024;SPLIT;O.Š. DOBRI;KLIŠKA 25;794;380;380;372;8;75;12;84;1;12;1;5;6;24;27;54;3;52;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;025;SPLIT;O.Š. DOBRI;KLIŠKA 25;624;318;318;311;7;47;23;77;6;0;2;6;8;15;15;25;0;30;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;026;SPLIT;O.Š. DOBRI;KLIŠKA 25;649;260;260;257;3;65;7;55;2;2;0;9;6;14;15;33;1;31;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;027;SPLIT;O.Š. DOBRI;KLIŠKA 25;512;246;246;243;3;54;10;29;3;2;1;9;3;19;12;32;1;41;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;028;SPLIT;PARKOVI I NASADI;KAVANJINOVA 12;468;208;207;203;4;61;10;28;0;2;1;1;2;13;8;27;2;32;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;029;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;388;154;154;151;3;34;8;35;0;2;1;2;3;2;9;23;0;17;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;030;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;301;119;119;118;1;28;9;28;0;1;0;1;3;11;2;10;2;10;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;031;SPLIT;O.Š. DOBRI;KLIŠKA 25;771;348;348;343;5;86;19;60;2;1;1;10;5;16;25;52;2;38;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;032;SPLIT;DJEÈJI VRTIÆ PALÈIÆ;OSJEÈKA 3;548;250;247;242;5;49;9;44;1;3;1;1;2;16;22;25;2;26;41
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;033;SPLIT;DJEÈJI VRTIÆ BOSILJAK;OSJEÈKA 24;719;348;348;338;10;67;11;66;0;5;3;10;1;27;30;37;3;61;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;034;SPLIT;GRADSKI KOTAR GRIPE;MATICE HRVATSKE 16;772;352;352;344;8;77;10;76;1;1;1;12;6;17;19;52;2;40;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;035;SPLIT;DJEÈJI VRTIÆ MIKI;OSJEÈKA 12;858;423;423;415;8;92;12;69;1;7;0;11;9;42;30;32;2;77;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;036;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;790;331;331;325;6;60;15;64;4;2;2;10;7;30;27;39;3;43;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;037;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;858;407;407;402;5;85;18;73;1;3;5;8;3;19;26;56;1;67;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;038;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;879;346;346;339;7;52;24;81;0;5;2;10;3;15;29;35;2;25;56
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;039;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1016;402;402;391;11;62;24;82;6;2;4;8;8;19;49;32;3;32;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;040;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;816;318;318;314;4;64;18;64;1;2;1;4;8;21;22;29;4;36;40
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;041;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;841;346;346;341;5;71;15;60;1;3;1;6;9;25;32;33;6;34;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;042;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;798;313;313;304;9;61;17;74;5;1;2;6;8;18;35;16;2;16;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;043;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1198;438;438;429;9;65;18;130;3;3;1;13;6;26;39;24;3;25;73
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;044;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1133;430;430;424;6;84;22;99;1;1;4;10;8;28;35;17;2;44;69
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;045;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1005;367;367;360;7;86;15;80;1;4;3;6;12;13;17;20;7;50;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;046;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1398;640;640;626;14;162;27;128;4;9;6;15;8;37;38;56;6;85;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;047;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1561;666;666;653;13;154;26;123;3;6;2;18;6;40;28;92;4;71;80
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;048;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1669;734;733;720;13;180;25;143;10;9;5;14;9;39;48;97;5;88;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;049;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;1548;665;665;654;11;152;27;143;2;7;3;12;12;44;47;62;3;55;85
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;050;SPLIT;O.Š. SKALICE;PUT SKALICA 18;999;461;461;450;11;99;20;60;2;0;1;15;9;29;21;77;6;69;42
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;051;SPLIT;O.Š. SKALICE;PUT SKALICA 18;914;429;429;412;17;77;17;104;5;8;2;7;7;16;23;45;3;57;41
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;052;SPLIT;DJEÈJI VRTIÆ VESELI DANI;STARÈEVIÆEVA 32;744;328;328;323;5;84;12;50;2;2;1;10;5;16;20;48;1;44;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;053;SPLIT;O.Š. SKALICE;PUT SKALICA 18;648;288;288;282;6;67;8;42;2;4;2;12;1;25;13;47;5;35;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;054;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;670;297;297;297;0;82;16;54;1;1;3;8;7;12;13;37;6;29;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;055;SPLIT;DJEÈJI VRTIÆ ÈAROBNI PIANINO;TERZIÆEVA 9;1055;489;489;483;6;93;21;104;0;2;1;10;7;45;34;56;3;45;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;056;SPLIT;ZGRADA STANOUPRAVE;PUT SKALICA 18;1159;629;629;617;12;163;27;96;1;3;0;24;5;60;51;76;3;31;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;057;SPLIT;O.Š. SKALICE;PUT SKALICA 18;875;404;404;394;10;98;17;74;4;4;7;4;3;21;29;53;2;39;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;058;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;723;311;311;304;7;72;13;43;1;0;2;3;3;19;18;47;5;39;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;059;SPLIT;DJEÈJI VRTIÆ MALA SIRENA;KNEZA VIŠESLAVA 24;678;328;328;321;7;82;13;41;2;2;3;6;6;28;15;55;3;30;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;060;SPLIT;GIMNAZIJA VLADIMIR NAZORA;ZAGREBAÈKA 2;770;355;355;352;3;89;9;69;4;2;0;4;5;18;21;52;2;36;41
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;061;SPLIT;O.Š. LUÈAC;OMIŠKA 27;690;329;329;321;8;80;8;50;0;3;1;7;4;30;22;59;2;45;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;062;SPLIT;O.Š. LUÈAC;OMIŠKA 27;558;217;217;215;2;36;10;47;1;3;1;3;3;15;12;24;1;24;35
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;063;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;690;304;304;292;12;50;11;61;2;1;1;7;5;20;22;30;3;33;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;064;SPLIT;GRADSKI KOTAR LUÈAC-MANUŠ;OMIŠKA 16;719;372;372;353;19;97;10;63;0;2;0;13;3;21;42;26;6;39;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;065;SPLIT;GRADSKI KOTAR MEJE;NJEGOŠEVA 1 A;707;363;363;357;6;80;12;62;1;3;0;14;4;29;28;53;4;34;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;066;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;617;292;292;288;4;77;23;41;0;0;0;16;7;7;19;42;0;34;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;067;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;998;507;507;498;9;115;15;103;0;0;0;3;11;37;39;61;5;35;74
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;068;SPLIT;DJEÈJI VRTIÆ KAŠTELET;T.P MAROVIÆA 4;834;408;408;402;6;80;17;87;3;3;1;11;8;28;26;31;3;36;68
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;069;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;985;459;459;445;14;108;26;73;1;2;3;14;10;37;34;46;3;46;42
