Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ISTARSKI DEMOKRATSKI SABOR - IDS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DEAN PRODAN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
18;ISTARSKA ŽUPANIJA;grad;BUZET;001;BUZET - ISTOK;NARODNI DOM;II ISTARSKE BRIGADE 2, BUZET;1025;624;624;606;18;38;128;234;206
18;ISTARSKA ŽUPANIJA;grad;BUZET;002;BUZET - ZAPAD;NARODNI DOM;2. ISTARSKE BRIGADE 2, BUZET;558;336;336;331;5;29;69;137;96
18;ISTARSKA ŽUPANIJA;grad;BUZET;003;BUZET - STARI GRAD;ZAVIČAJNI MUZEJ;ULICA RAŠPORSKIH KAPETANA 2, BUZET;320;165;165;163;2;8;51;55;49
18;ISTARSKA ŽUPANIJA;grad;BUZET;004;KRUŠVARI;DRUŠTVENI DOM KRUŠVARI;KRUŠVARI 1, KRUŠVARI;233;127;127;122;5;5;43;39;35
18;ISTARSKA ŽUPANIJA;grad;BUZET;005;HUM;"DRUŠTVENI DOM ""POLAČA""";HUM;125;68;68;66;2;2;18;34;12
18;ISTARSKA ŽUPANIJA;grad;BUZET;006;ROČ;DRUŠTVENI DOM ROČ;ROČ;398;210;210;208;2;11;59;80;58
18;ISTARSKA ŽUPANIJA;grad;BUZET;007;ROČKO POLJE;ZGRADA ŠKOLE ROČKO POLJE;ROČKO POLJE;144;92;92;92;0;7;41;20;24
18;ISTARSKA ŽUPANIJA;grad;BUZET;008;SOVINJAK;DRUŠTVENI DOM SOVINJAK;SOVINJAK 11, SOVINJAK;159;90;90;88;2;1;27;30;30
18;ISTARSKA ŽUPANIJA;grad;BUZET;009;SOVIŠĆINA;PRIVATNA KUĆA U VLASNIŠTVU ĐULIJANA KRTA;PUHI 54, PUHI;94;35;35;34;1;1;16;10;7
18;ISTARSKA ŽUPANIJA;grad;BUZET;010;SVETI IVAN;PROSTOR BARAKE DRUŠTVENOG DOMA;SVETI IVAN 22, BUZET;303;183;183;180;3;14;38;77;51
18;ISTARSKA ŽUPANIJA;grad;BUZET;011;SVETI MARTIN;DRUŠTVENI DOM;SVETI MARTIN 51, BUZET;420;246;246;241;5;7;55;85;94
18;ISTARSKA ŽUPANIJA;grad;BUZET;012;SVI SVETI;DRUŠTVENI DOM PRODANI;PRODANI;304;189;189;185;4;12;58;47;68
18;ISTARSKA ŽUPANIJA;grad;BUZET;013;ŠTRPED;DRUŠTVENI DOM SVETI DUH;ŠTRPED;315;198;198;196;2;5;55;65;71
18;ISTARSKA ŽUPANIJA;grad;BUZET;014;ŠKULJARI;DRUŠTVENI DOM ŠKULJARI;ŠKULJARI;125;79;79;75;4;1;17;24;33
18;ISTARSKA ŽUPANIJA;grad;BUZET;015;VELI MLUN;DRUŠTVENI DOM;VELI MLUN 28, VELI MLUN;109;63;63;61;2;4;19;17;21
18;ISTARSKA ŽUPANIJA;grad;BUZET;016;VRH;DRUŠTVENI DOM VRH;VRH;440;249;249;245;4;9;80;77;79
