Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LORIS PERŠURIĆ;VLADIMIR SLADONJA;MAURIZIO ZENNARO
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;001;BADERNA - MOMPADERNO;ZGRADA ŠKOLE;BADERNA;556;246;246;243;3;194;22;27
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;002;ŽBANDAJ;DRUŠTVENI DOM-PODUZETNIČKI INKUBATOR U ŽBANDAJU;ŽBANDAJ 34A,ŽBANDAJ;1363;476;476;469;7;397;21;51
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;003;FUŠKULIN-FOSCOLINO;NOVI DRUŠTVENI DOM U FUŠKULINU;FUŠKULIN;644;343;343;339;4;256;37;46
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;004;POREČ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREČ;943;446;446;437;9;331;53;53
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;005;VELI MAJ;ZGRADA ŠKOLE;VELI MAJ, POREČ;1435;551;551;533;18;373;74;86
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;006;POREČ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREČ;1206;505;503;490;13;353;61;76
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;007;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;549;193;193;186;7;144;16;26
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;008;VARVARI;ZGRADA ŠKOLE;VARVARI;852;311;311;306;5;261;19;26
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;009;POREČ - PARENZO;VATROGASNI DOM;POREČ;823;394;394;384;10;275;73;36
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;010;POREČ - PARENZO;OSNOVNA ŠKOLA FINIDA;ROVINJSKA  12, POREČ;1159;472;472;461;11;353;45;63
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;011;POREČ - PARENZO;"SPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 16, POREČ;933;450;450;446;4;324;64;58
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;012;POREČ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIĆA 2, POREČ;1088;456;456;443;13;337;47;59
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;013;POREČ - PARENZO;MALA SALA PUČKOG OTVORENOG UČILIŠTA;ALDA NEGRIJA 5, POREČ;1162;486;486;477;9;369;48;60
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;014;POREČ - PARENZO;"DJEČJI VRTIĆ ""RADOST""";RADE KONČARA 7, POREČ;538;239;239;232;7;167;27;38
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;015;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;1276;497;497;481;16;373;42;66
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;016;KUKCI;PROSTORIJA BOĆALIŠTA;JASENOVA 6/A, KUKCI;1123;395;395;380;15;295;37;48
18;ISTARSKA ŽUPANIJA;grad;POREČ - PARENZO;017;ČERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UČKA 2,ČERVAR-PORAT;519;202;202;198;4;167;6;25
