Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATI, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ZLATKO DEVEDŽIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, ZELENI SAVEZ - ZELENI;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  FILIP ZORIÈIÆ
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;001;PULA-POLA, BIRAÈKO MJESTO 1.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;981;365;365;355;10;2;4;4;23;22;103;56;15;53;73
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;002;PULA-POLA, BIRAÈKO MJESTO 2.;"OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA-POLA;721;253;253;245;8;1;7;1;20;7;73;41;17;42;36
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;003;PULA-POLA, BIRAÈKO MJESTO 3.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;1158;445;445;439;6;5;6;7;29;16;119;88;26;85;58
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;004;PULA-POLA, BIRAÈKO MJESTO 4.;"OŠ  ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;784;315;315;308;7;3;3;4;19;8;116;56;9;39;51
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;005;PULA-POLA, BIRAÈKO MJESTO 5.;"OŠ ""ŠIJANA""";43.ISTARSKE DIVIZIJE 5, PULA-POLA;777;352;352;349;3;3;3;3;18;14;129;45;15;50;69
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;006;PULA-POLA, BIRAÈKO MJESTO 6.;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA-POLA;985;297;296;289;7;2;6;5;15;1;108;45;15;40;52
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;007;PULA-POLA, BIRAÈKO MJESTO 7.;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA-POLA;1004;357;357;351;6;14;6;3;25;14;120;55;21;42;51
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;008;PULA-POLA, BIRAÈKO MJESTO 8.;"PROSTORIJE MO ""KAŠTANJER""";KAŠTANJER 10, PULA-POLA;1074;395;395;386;9;7;4;2;22;13;123;70;8;74;63
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;009;PULA-POLA, BIRAÈKO MJESTO 9.;"PROSTORIJE MO ""KAŠTANJER""";ULICA KAŠTANJER 8, PULA-POLA;1365;464;464;452;12;5;2;10;39;8;165;79;6;54;84
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;010;PULA-POLA, BIRAÈKO MJESTO 10.;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA-POLA;1019;411;411;402;9;5;8;9;23;19;122;77;14;50;75
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;011;PULA-POLA, BIRAÈKO MJESTO 11.;"PROSTORIJE  MO ""BUSOLER""";ŠIŠANSKA CESTA 106, PULA-POLA;1243;433;433;423;10;9;11;10;52;13;135;59;16;52;66
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;012;PULA-POLA, BIRAÈKO MJESTO 12.;"PROSTORIJE MO ""ARENA""";EMOVA ULICA 1, PULA-POLA;1044;383;383;375;8;4;8;12;27;13;120;61;19;55;56
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;013;PULA-POLA, BIRAÈKO MJESTO 13.;"PROSTORIJE ""HAK-A - AUTO SL 91""";STIGLICHEVA 26, PULA-POLA;808;314;314;309;5;5;7;5;28;10;102;37;7;48;60
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;014;PULA-POLA, BIRAÈKO MJESTO 14.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1018;446;446;435;11;4;6;4;28;16;169;68;17;56;67
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;015;PULA-POLA, BIRAÈKO MJESTO 15.;"OŠ ""VELI VRH""";ZAHTILINA 1, PULA-POLA;1326;513;513;506;7;5;5;2;47;11;176;70;10;79;101
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;016;PULA-POLA, BIRAÈKO MJESTO 16.;"OŠ ""VELI VRH""";ZAHTILINA ULICA 1, PULA-POLA;942;417;417;416;1;2;7;1;27;7;168;64;4;40;96
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;017;PULA-POLA, BIRAÈKO MJESTO 17.;PROSTORIJE MJESNOG ODBORA ŠTINJAN;ULICA SELO 2, PULA-POLA;891;426;426;421;5;7;11;4;32;8;126;57;9;64;103
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;018;PULA-POLA, BIRAÈKO MJESTO 18.;"PODRUÈNA OŠ ""ŠTINJAN""";ULICA VAROŠ 2, PULA-POLA;777;364;364;349;15;7;6;3;30;5;104;42;19;60;73
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;019;PULA-POLA, BIRAÈKO MJESTO 19.;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA-POLA;731;283;283;273;10;2;6;2;18;8;72;52;8;38;67
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;020;PULA-POLA, BIRAÈKO MJESTO 20.;"OŠ ""CENTAR""";DANTEOV TRG 2, PULA-POLA;707;259;259;251;8;1;10;3;17;3;71;49;4;36;57
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;021;PULA-POLA, BIRAÈKO MJESTO 21.;"DOM ""BRAÆE RIBAR""";MARSOVOG POLJA 6, PULA-POLA;893;323;323;321;2;5;4;11;26;3;118;59;8;35;52
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;022;PULA-POLA, BIRAÈKO MJESTO 22.;EKONOMSKA ŠKOLA;KOVAÈIÆEVA ULICA 3, PULA-POLA;812;345;345;333;12;5;4;5;27;9;86;69;8;63;57
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;023;PULA-POLA, BIRAÈKO MJESTO 23.;"BIVŠA ROBNA KUÆA ""STANDA""";KOPARSKA ULICA 64, PULA-POLA;861;343;343;337;6;5;9;5;30;10;117;51;15;46;49
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;024;PULA-POLA, BIRAÈKO MJESTO 24.;"MO ""VALDEBEK""";POD MURVON 2, PULA-POLA;1592;600;600;596;4;12;10;6;32;13;209;89;21;72;132
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;025;PULA-POLA, BIRAÈKO MJESTO 25.;UDRUŽENJE OBRTNIKA;SV. FELICITE 5A, PULA-POLA;1406;542;542;535;7;8;5;8;26;15;151;91;30;84;117
