Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO PALIAGA;BRUNO POROPAT;GORAN SUBOTIĆ
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;001;ROVINJ;DOM KULTURE;TRG M.TITA 3;808;215;215;210;5;118;37;55
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;002;ROVINJ;"OŠ ""VLADMIR NAZOR""";E.DE AMICIS 31;815;246;246;237;9;177;18;42
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;003;ROVINJ;"OŠ ""VLADIMIR NAZOR""";E.DE AMICIS 31;921;296;296;283;13;199;34;50
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;004;ROVINJ;"STRUKOVNA ŠKOLA ""E.KUMIČIĆA""";CARDUCCI 13;794;284;284;268;16;198;37;33
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;005;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIĆA 8;977;390;390;373;17;232;40;101
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;006;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIĆA 8;1061;399;399;389;10;245;43;101
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;007;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1223;494;493;484;9;295;62;127
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;008;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1364;404;402;388;14;243;49;96
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;009;ROVINJ;"TOŠ ""BERNARDO BENUSSI""";OMLADINSKA 20;1689;571;570;552;18;386;82;84
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;010;ROVINJ;PJ ELEKTRA;VIJENAC B.LORENZETTO BB;1334;481;481;459;22;318;69;72
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;011;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE MONDELACO;ROIA 1;1121;418;418;393;25;250;58;85
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;012;ROVINJSKO SELO;DOM KULTURE;TRG MATKA LAGINJE 2;1227;420;420;404;16;298;41;65
